,name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
12,5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),20,0.602439334,hill,2.659129992,0.80759653,NA,NA,2.396223749,0.3,NA,9.646386127,NA,-0.379899326,0.812690661,0.147634294,6.140254243,1.08E-05,-29.8408821,0.999982384,0.970553515,NA,1.6019645,0.000129987,0.001473275,0.019025426,0.254004583,0.254004583,1.043978925,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,1.48744364280643|1.39390300532465|1.80056438074442|2.08857192469442|2.01637701067331|1.57956875451224|0.765448207652634|1.60132743824489|0.719285234295285|1.11286953248612|0.707048898685975|0.392086113087143|-0.397093641392358|0.43670758903237|0.767992519043717|-0.330035587499515|1.43893610635432|1.16959730042525|0.929034632206252|1.45283971885156|2.11650753968806|1.98044743624606|1.64499989145145|2.16759282674027,dt4,rep2
13,Ca-074-Me,Mahalanobis distance (cutoff = 1),12,0.602439334,poly1,6.18410097,0.832385008,0.372554567,NA,NA,NA,NA,NA,NA,-0.523934056,0.812690661,1.913213785,2.529026166,1.10E-09,-27.68840293,0.999999472,5,NA,3.725545668,0.5,1,2,1.617049923,1.617049923,2.181400347,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,4.3535517559432|3.48191057594418|3.06157298955121|2.96010953003866|2.90959512071964|4.205655158455|0.555527372414832|0.508928978939628|0.492095597460825|0.427547993315831|0.56676850562652|0.771355594836314|-0.325210809405679|0.371656159644662|0.472804494268577|0.398276319744195|1.01308130240994|-0.0341823614048202|0.680239368139087|0.679093755285082|0.563081945995041|2.88160655264739|0.951084175773081|0.591041057045383,dt4,rep2
14,Tetrandrine,Mahalanobis distance (cutoff = 1),16,0.602439334,poly2,12.74959678,0.885603397,-30.72359996,-16.01526162,NA,NA,NA,NA,NA,-0.601424665,0.812690661,0.413568263,0.464274883,7.66E-15,-25.27755351,1,2.345365502,NA,7.680858586,0.202756633,0.410922929,0.845383252,0.320444659,0.320444659,0.435471399,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.08918515469517|6.90050153249706|6.52851573307259|5.46490816968141|5.79283284277336|5.64123820060811|1.82624599053887|2.03851872394763|1.84569442399482|0.166358304840764|0.452232996125892|0.318592836446397|0.439378845579244|1.06238503083866|-0.0189083689096927|1.23662861488321|3.31480032957402|0.817050248624735|0.414907042685816|0.370535117110571|0.17590764065883|0.829962059685958|1.59945928019579|0.778212853971118,dt4,rep2
15,Fluphenazine,Mahalanobis distance (cutoff = 1),21,0.602439334,pow,4.91784819,1.153735407,1.438669855,NA,NA,0.300000045,NA,NA,NA,-0.066943843,0.812690661,0.071902414,0.400484222,3.55E-05,-37.95793306,0.999961808,1.102362223,NA,2.962705187,0.000511672,0.005157327,0.051982579,0.054933943,0.054933943,0.149009472,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,4.46305393868138|3.42199780076369|3.16458355048582|1.00764611482467|0.765434991192002|0.674631261619954|1.42405156474472|0.164764533922444|1.36810256191595|1.34503879976753|1.61231172100971|1.19083049369843|0.97101125040927|1.07416002194142|0.136558787280933|0.741290808000234|3.22717908003685|0.804097189082972|0.401779646383321|1.72150322577924|1.1476684490363|2.14351458425769|2.44885074096662|2.0041380343077,dt4,rep2
16,Berberine Chloride,Mahalanobis distance (cutoff = 1),22,0.602439334,pow,8.403099565,0.59529285,1.062050938,NA,NA,0.339103741,NA,NA,NA,-0.702483084,0.812690661,0.363936518,0.562359378,2.61E-17,-22.25718326,1,12.95023275,NA,5.062357703,0.014565571,0.112473428,0.868505071,0.187877186,0.187877186,0.454226841,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.74634347950319|4.50942364092531|4.68096082475958|6.03733110914929|5.64457036181021|5.50691033453016|3.18537080981482|3.46279219451685|3.64276722186122|2.60741729492629|2.4126996186421|2.06951388832226|2.26829025668583|1.42586063639141|1.00866432906198|1.04848841453962|0.303379820302956|0.769362574812561|0.269410457259292|1.07370003541322|1.15369789717005|0.816492778009806|1.59280364474017|1.07957129396469,dt4,rep2
17,Rapamycin,Mahalanobis distance (cutoff = 1),24,0.602439334,hill,7.03417024,0.80057368,NA,NA,6.268215986,0.3,NA,1.721836788,NA,-0.386634275,0.812690661,0.001510292,0.00585162,2.37E-14,-29.68921361,1,0.183245508,NA,4.237660832,2.41E-05,0.000273695,0.003545404,0.000980629,0.000980629,0.003017317,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,4.14360001359604|5.38218941153279|4.40667168026155|4.72482692379958|3.92130797777396|4.09798066015117|3.22935450578472|3.68185330672528|3.15587005100787|1.76727881823536|2.79754949805223|2.35646088528195|2.10778865760688|1.90596426299342|1.80921724550071|2.4044886144444|2.44846931389823|2.44711411280901|2.17450187444991|2.89808191971286|2.33388138172541|2.27680894767776|2.80261164433574|3.02094244584049,dt4,rep2
18,Amperozide,Mahalanobis distance (cutoff = 1),19,0.602439334,pow,10.06316407,1.188397663,0.857433026,NA,NA,0.453023953,NA,NA,NA,-0.057351262,0.812690661,0.703763006,1.161462665,4.64E-09,-33.65604828,0.99999999,16.23943902,NA,6.06244586,0.100735425,0.465235091,2.148635293,0.458813556,0.458813556,0.888429893,75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,6.1834516183908|6.21832328584126|5.79187105778994|4.76092695518405|5.14008740405343|4.32661618290576|0.314617216973911|1.87573733247073|0.475482080334939|1.13140357270378|1.1372116069759|0.766319658613906|1.00597083974942|1.89188093094472|0.805848242947542|1.7204272740844|0.703656680695975|1.72151674970491|1.94300636140783|2.84143306245936|2.6405665230263,dt4,rep2
19,Fenbendazole,Mahalanobis distance (cutoff = 1),17,0.602439334,pow,5.174086449,1.422914975,3.57633348,NA,NA,0.300000035,NA,NA,NA,-0.047322478,0.812690661,0.003391177,0.017372785,5.34E-05,-30.50420893,0.999944495,0.062747553,NA,3.117073192,2.91E-05,0.00029356,0.0029589,0.002639883,0.002639883,0.007160738,0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002,5.91837988951369|3.09281478429311|2.55737901985361|1.2004501714578|2.44247007530405|1.24874856529582|1.77437995289409|0.529707214049418|0.992334599413306|2.35915374803976|2.01235524443614|1.13412339210957|1.2472687437265|0.969569503917962|1.11965095659295|4.33231647786046|3.34739843707408|0.727962732169253,dt4,rep2
20,Latrunculin B,Mahalanobis distance (cutoff = 1),18,0.602439334,exp5,7.775679608,1.025600453,NA,NA,5.940875374,0.311197702,NA,0.236444024,NA,-0.116823262,0.812690661,0.000790468,0.00335124,7.93E-09,-26.89431041,0.999999991,0.083460201,NA,4.684375242,2.52E-05,0.000249532,0.002664257,0.000582444,0.000582444,0.001623593,3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,4.6465564908895|4.61156028859305|4.68972037950687|4.09600753088694|4.95072948433399|5.09572996785944|2.13246391722442|3.18334844170981|1.65762845931227|0.950338560247477|1.29918859538314|2.9080715918409|0.772249984969103|3.07006358978257|2.31518675734153|0.856634955012827|2.41832125097433|3.63439733411078,dt4,rep2
21,Taxol (Paclitaxel),Mahalanobis distance (cutoff = 1),12,0.602439334,exp5,7.575516816,0.480621343,NA,NA,5.355407436,0.31083815,NA,0.005245324,NA,-0.911006258,0.812690661,3.34E-05,7.92E-05,2.36E-10,-8.650102227,1,0.002570016,NA,4.563789303,7.13E-07,7.13E-06,7.73E-05,1.83E-05,1.83E-05,5.14E-05,0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,4.35752282373784|4.4628409036628|5.44951344239611|3.87287110147572|3.57470559954432|4.30359936918214|2.68765629416555|2.39178844148512|2.8700493018468|2.74362956438399|2.24214274294192|3.30278791421857,dt4,rep2
