name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
Staurosporine,Mahalanobis distance (cutoff = 1),31,0.8493311638810088,pow,6.200718887260776,1.2269659759180032,6.483777675856979,NA,NA,0.3000000452657736,NA,NA,NA,-0.02420814746873865,1.145747740075481,0.0022550524467956686,0.004391062537679592,3.4126762948286885e-15,-51.987062907960684,0.9999999998819749,0.049606300167772885,NA,5.266463789416149,2.3025231558878823e-5,2.32079710450139e-4,0.0023392160840984407,0.0011415552265693076,0.0011415552265693076,0.0030964924609851396,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.005|0.005|0.005|0.005|0.00158113883008419|0.00158113883008419|0.00158113883008419|0.00158113883008419|5e-04|5e-04|5e-04|5e-04,5.95867936130326|4.07715727416447|5.01575667945189|4.83325275255562|4.715032519059|5.65198556700489|5.72282797587091|4.50132172257988|7.25062062279529|3.50317789016598|1.93906630169134|3.3637379331607|3.12147847739403|2.0814579317274|2.52619014021787|1.85987041652791|1.01911000326101|2.401590872446|0.544239380765444|1.06976830035402|1.59326161629255|3.49156698900451|1.61464383266144|2.38249111731647|1.97225378885427|2.93773203005821|1.73315506757361|2.74196379936172|2.67260002370641|1.29093223348788|1.12098398536978|2.78111676488502,dt4,PR_0.5
Taxol (Paclitaxel),Mahalanobis distance (cutoff = 1),22,0.8493311638810088,exp5,3.8752179191729077,0.6705094745265103,NA,NA,3.291570726037425,0.4062698404818742,NA,0.017313441928844236,NA,-0.6668558533908386,1.145747740075481,0.0027651893838494803,0.010204775555875064,7.112854169282141e-15,-24.2359626584919,0.9999999999999846,0.017309195276766266,NA,3.291343345583667,2.8511650437452683e-5,1.676880705560174e-4,0.0010633822387114316,0.002175783727411708,0.002175783727411708,0.005279734700003622,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,1.96729234619209|3.26140388509135|3.50265675856641|3.21570736619945|3.14694455363582|3.22637170214542|4.9069011982067|3.08674002750344|3.69217471635888|3.40048848347678|1.90572202347296|3.74324284104536|2.7259439460722|1.50694669517325|2.2702887593363|2.65237437134263|1.53407021175662|2.24012029223236|1.64276478072821|1.54145077636611|0.296882977848277|0.945511989709919|0.565294697305905|1.5671482231906,dt4,PR_0.5
Ca-074-Me,Mahalanobis distance (cutoff = 1),9,0.8493311638810088,pow,1.6308307101869794,0.6272009375131794,0.6942020945178148,NA,NA,0.30000002101124873,NA,NA,NA,-0.656858568374126,1.145747740075481,2.350978233638008,14.707825962531734,3.195418447806448e-5,-23.434345186368674,0.986956186156096,0.9921258180268685,NA,1.3851153451759994,4.6050425939674734e-4,0.004641591328734842,0.04678430138997895,1.9587113777326952,1.9587113777326952,5.313046064305412,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.16092974363326|0.79059962944929|1.06579110155117|1.51541120866394|1.1173997412348|2.35765355337108|0.698925185217061|0.355839426762968|-0.59722596410088|0.496690447270649|0.546976190911151|1.55960736002437|0.713029757957139|0.872116777094542|1.17774098728058|1.23254783604763|-0.695499979532583|0.390958738548748|-0.158782329176834|0.510245111772208|0.253452736156561|0.66036920772539|0.752294615336413|0.0857549319436237,dt4,PR_0.5
Amperozide,Mahalanobis distance (cutoff = 1),17,0.8493311638810088,hill,5.619446083114981,0.9657429051598876,NA,NA,4.778101860417236,5.039329047936864,NA,25.95482923207372,NA,-0.13799449402049285,1.145747740075481,13.698671574340661,25.135898529649797,2.0372379158536314e-10,-34.90464524247988,0.9999999904946864,25.94333851097608,NA,4.772770682138622,14.466456683054703,16.778465618517473,19.707234182594046,19.15228165125504,19.15228165125504,20.64336536619213,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,5.74677921405981|5.54976458251521|4.97862081329604|4.30193889966171|3.52014234124895|4.33963034944808|5.192553259887|3.64316811934018|2.7988539417638|-0.329738655714247|0.648800333602518|-0.416774837472929|0.137259272362221|1.2611820417911|0.0942851747983862|-0.332846902374131|1.47907913369381|1.03057110171057|1.72243712410567|1.14495805189888|1.70497670456491|0.752498433532746|0.987518939200466|1.19630204490556,dt4,PR_0.5
Tetrandrine,Mahalanobis distance (cutoff = 1),15,0.8493311638810088,poly2,8.56176982421911,1.1534222338521651,-29.105579670048737,-18.38026763415796,NA,NA,NA,NA,NA,-0.24050097319525343,1.145747740075481,0.6744840520458926,0.8996471807021309,2.3546801772122867e-11,-33.614692990725274,0.9999999983368371,2.6896665311979517,NA,7.271777929685318,0.23254981737695402,0.47130002765411105,0.9695763104730579,0.5529928413857337,0.5529928413857337,0.754516577083775,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.46677279963485|7.47591003444478|6.9441571845233|4.76621715047501|4.88640327278561|4.38503553900066|1.82405487852669|2.68250941659354|0.659387668013172|-0.151160359866509|0.691653654375417|0.717700125878033|0.602804414680772|1.02289176624723|1.15683723331123|1.5106983148855|2.92147548478471|0.339990692556428|0.597518419161059|0.414580682085876|1.11985764376438|1.9150067735549|3.30726897446335|0.37699669559728,dt4,PR_0.5
Fenbendazole,Mahalanobis distance (cutoff = 1),16,0.8493311638810088,pow,2.98226492733848,1.2363984423827095,2.0573761841253266,NA,NA,0.3000019060872667,NA,NA,NA,-0.12623015447156608,1.145747740075481,0.07239481224951241,0.3260299402004235,3.7037842247753295e-6,-37.53652326201979,0.999991303546928,0.19842804437765627,NA,2.5329305417379033,9.210663102765719e-5,9.283630377604901e-4,0.009357175702377957,0.05238649098779542,0.05238649098779542,0.14209857446800875,2|2|2|1.5|1.5|1.5|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002,3.46314931861728|3.4391825353922|1.87028985305059|2.36458403018284|1.73366461052579|1.77587153285845|4.60111665266012|1.61380380057575|2.16276337752757|1.4912598592888|0.245844100116871|0.323402701551371|1.05531525970577|-0.00195363478056443|0.0391069034463065|1.65750935891672|1.74591294457165|0.102103987511451|0.530437961523551|-0.218713490292542|0.272717890283817|4.15622973332222|2.09624541012553|1.486533405757,dt4,PR_0.5
Etoposide,Mahalanobis distance (cutoff = 1),18,0.8493311638810088,exp5,3.093267650921934,0.7721799908552668,NA,NA,2.635301311200446,0.5629484109786408,NA,0.23068348155774504,NA,-0.6657510153220965,1.145747740075481,0.08530845250168098,0.3097399886503392,1.3463967669420733e-11,-25.543602428039534,0.99999999581574,0.2288739222165668,NA,2.6272086141530004,0.0022487157435429053,0.008075854237087836,0.030616846826693103,0.08268774305487324,0.08268774305487324,0.1632369262220288,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.68364292628904|1.91260932895035|3.01991918020023|3.98422589050945|2.18526549308749|2.70930924521358|2.85248558205732|2.32525345697227|1.95058986471624|1.91633114622959|2.35562895566713|4.61031331471079|0.730544322142546|0.922472590012291|1.73553339980146|0.894300663658784|1.31036045380047|1.44138927087371|1.76528893141773|0.285893791896233|-0.780207385637542|0.264762439453532|0.166319901105565|0.296725444546404,dt4,PR_0.5
Fluphenazine,Mahalanobis distance (cutoff = 1),8,0.8493311638810088,exp2,4.192762524590494,0.9900793531342632,0.35054653657528945,4.606203523548698,NA,NA,NA,NA,NA,-0.5516282756701112,1.145747740075481,6.346105184224763,7.125444308156845,4.4963187667147325e-6,-29.00001341814736,0.9994224666962942,8.313669002172722,NA,3.5610438748871207,1.8919342118733975,3.2291482653333863,5.108863293003887,5.667847966078076,5.667847966078076,6.684768425840039,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,3.64318761059829|3.23608981890688|3.79767676085079|-0.059042329074475|0.0792211971268255|0.96206470931312|0.797668970084608|-0.274897389558196|1.40914417357414|0.869743626434276|0.516678706862881|-0.35979621233517|-0.623375921192745|0.561877046286027|0.250752700381625|-0.110668672315897|3.70183548214213|-0.110001849607918|-0.380819104318746|0.434989418722861|0.497383740125969|0.421445435131147|0.399391833299478|1.97856512320825,dt4,PR_0.5
Berberine Chloride,Mahalanobis distance (cutoff = 1),16,0.8493311638810088,pow,6.161515291285016,0.7178199654950271,0.572010675587802,NA,NA,0.48068022801310023,NA,NA,NA,-0.5446265417560112,1.145747740075481,3.5809825216971265,5.101928594088006,1.668088160422098e-14,-26.407496163700824,0.9999999997343714,23.645128170381728,NA,5.233166953617736,0.19649727846315046,0.8310264890392356,3.5145780688987474,2.275861356643178,2.275861356643178,4.242489038633662,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,5.60785805257867|4.71777954339364|4.8091932870773|6.33994107654164|4.93071008864138|5.03347560039434|2.16820038637864|2.47366963096702|3.10407451382247|1.76634188286679|2.35809831254884|0.38489864711441|0.719087763540977|-0.10498170092323|1.08776220097433|0.621728219160517|0.655905557656506|1.75429289567188|1.08647008324014|0.616634952617872|0.963219405830933|0.642344161484701|0.335376461049719|1.10727322514063,dt4,PR_0.5
Latrunculin B,Mahalanobis distance (cutoff = 1),20,0.8493311638810088,pow,6.6408184100248935,1.1042243032803918,2.826821315633659,NA,NA,0.30000030700123853,NA,NA,NA,-0.17410906015123928,1.145747740075481,0.0360849008110539,0.06905028361270987,4.273861000324948e-13,-35.93710751034022,0.9999999999897548,0.9921280032738988,NA,5.640254029308873,4.6050864315468006e-4,0.004641625290638497,0.046784540657271174,0.018166201284659983,0.018166201284659983,0.049276158560648146,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,7.46926286094861|4.36221665929223|5.82242335305904|4.34676826128794|5.30383766802738|4.68452151532327|4.18487855727812|4.89413814641782|4.00275727854873|2.66103495695948|2.96468657650204|3.8528889679982|1.97319319394746|1.71614379177135|0.5954858733027|0.652563136021592|1.05505962770452|2.53825894468776|0.162827169173716|3.13387041008765|1.02234408870771|0.0808954503500554|2.06752791053736|3.84799722311352,dt4,PR_0.5
Rapamycin,Mahalanobis distance (cutoff = 1),24,0.8493311638810088,hill,4.007398282910807,0.7691881572447645,NA,NA,4.171615740791614,0.3000000000274875,NA,0.13988880557062447,NA,-0.41817767381657206,1.145747740075481,0.0019210158022463905,0.015278039549433664,2.7701756990823767e-13,-28.917560431287257,0.9999999999972873,0.04042053936464486,NA,3.403608247759392,3.7563166408628133e-6,4.376343036678937e-5,6.014865613322086e-4,0.001483373082688349,0.001483373082688349,0.005494308796644383,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,3.72107888995563|3.56928988940331|4.33397666766877|3.90205399434867|3.92517647148313|4.80573465758053|2.89601355773342|2.19118375308219|1.57822257449178|1.56078836658439|2.54011907706766|1.91147467114025|2.09131131440109|2.48631235970136|2.0185866005926|2.02930691811871|1.71935074412644|1.94689474208509|2.10473836401136|1.8178350354958|2.76309523785475|2.63128123523948|2.29842802021566|2.1668058470152,dt4,PR_0.5
