name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
Sorbitol,Mahalanobis distance (cutoff = 1),12,0.7823118965387856,poly1,0.20884843795412558,1.9434986588544512,0.006535384703402193,NA,NA,NA,NA,NA,NA,-0.11134745316542101,1.0553387484308219,31.0105313146419,NA,0.713513684182522,-54.84647272908642,0.01892349291403732,12.500000000000004,NA,0.16338461758505488,1.2500000000000004,2.500000000000001,5.000000000000002,NA,119.70403152113286,161.48073852200824,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,3.13600991777855|0.0302377728876104|0.0836103902430039|-0.247004347554417|0.00778713195628633|2.77809318522635|-0.049056620967832|-0.934662581464595|0.46074177862172|1.3196157182831|-0.602664761524028|-1.0857840064069|0.289774244049824|0.519096862787077|-0.61120191429635|-0.0156445121929343|0.626909016499733|9.13586397746957|2.67677220431413|-1.32418434082992|1.20459263747677|-0.0575413574598795|0.0190175357152937|-1.2025273385235|-0.138312463041511|-0.0809508845551807|-0.554526618665903|-0.68032886488562|0.886731273708885|1.32405401245404|0.116983484981003|0.705667676911944,dt4,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),12,0.7823118965387856,exp4,1.2446174349725365,0.8433427741735359,NA,NA,0.9736790260186037,NA,NA,0.16800000506063864,NA,-0.3692914478721051,1.0553387484308219,NA,NA,1.275665009815909e-4,-30.429058476149876,0.8524022910134157,0.16800000506063864,NA,0.9736790260186037,0.012432098057044726,0.02553652046800112,0.05408392157023862,0.3943133530474453,0.3943133530474453,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.600531021847503|2.33280253163997|1.41157430290338|1.45053720135958|-0.106484577324776|0.492802469900711|1.40954895771584|0.2437255754528|0.516334777283624|2.25303107098848|0.555753477352825|0.826758493336619|2.37262667188566|0.932429150165618|0.818255162705238|1.98243933600162|0.699962270155629|0.327268244569732|1.92012114222466|0.708343458947138|-0.122948348346716|2.59059174154362|0.0756699776052052|0.168943058280847,dt4,rep1
Metoclopramide,Mahalanobis distance (cutoff = 1),15,0.7823118965387856,exp4,1.206088488042184,0.8868141295813039,NA,NA,0.9435373724738775,NA,NA,0.010000000236470873,NA,-0.4469978428629296,1.0553387484308219,NA,NA,2.3644229788289643e-5,-29.73287527866384,0.8516061125619943,0.010000000236470873,NA,0.9435373724738775,7.400058319367513e-4,0.0015200309703948037,0.0032192810250002406,0.025489999944271747,0.025489999944271747,NA,100|100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,3.16280203660727|1.69973155248268|0.932200227622608|1.37567429374049|0.257848232650912|0.0667315833666624|1.24969747978656|0.452644511117502|0.263099375620222|1.36486313090459|0.850669177708984|0.37327155509703|2.05114643709726|1.09645758433626|0.933573338261719|1.84128466691187|0.880085937387208|0.433562344943839|1.02251277519969|0.311653106546433|0.2708979397395|3.54883427378132|1.58688848726904|0.435715396750906,dt4,rep1
Ca-074-Me,Mahalanobis distance (cutoff = 1),12,0.7823118965387856,poly2,3.789556048441963,0.4915910082511288,-11.867437446882702,-17.886969823225765,NA,NA,NA,NA,NA,-0.8848227751643486,1.0553387484308219,1.4780022761592224,2.306324853927227,1.9690176976809094e-12,-15.776628981330184,0.9999998355124886,2.617094319501632,NA,2.9646147792966584,0.22628054781493734,0.45859354659302304,0.9434323750272714,1.269180159188391,1.269180159188391,1.7647520654826179,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.92402198233944|2.66195846993772|2.94436655967972|3.74091315630543|2.65930120392969|3.17415369697071|1.98882173199944|1.5609442559933|1.09657349989849|1.11891374830592|0.582411991924245|-0.137936729097479|0.459914254604286|-0.295212682487562|-0.327699618856667|0.789296296274292|0.291298927676446|0.605444110324668|-0.214027288078228|-0.128555800069488|-0.618537561491944|1.21755072485441|-0.156070545592375|0.328991792541119,dt4,rep1
Tetrandrine,Mahalanobis distance (cutoff = 1),12,0.7823118965387856,exp5,8.615521205692147,0.667756544996691,NA,NA,6.740024734126795,2.6776415337484076,NA,2.8664568574261757,NA,-0.5963885806032396,1.0553387484308219,1.5537040703500915,1.8396471528509581,2.8895827553831753e-14,-24.89339305118796,0.9999999927100983,2.866456857418924,NA,6.740024734095149,1.0840431930573386,1.4183962508724202,1.8772044344559837,1.5045296199527713,1.5045296199527713,1.696940540304395,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.76949724685833|6.66451532726106|6.78019400272323|5.47149109086664|4.92361431031543|4.7787151946078|0.10084685902646|0.640346719602161|0.492843875920768|0.400023609697742|0.88384254597245|0.408052093878088|0.647412711467863|0.277257101580134|1.27889154930294|1.05826850405222|0.475972048395492|0.601197231144358|1.67442481691019|0.96361412791738|0.608149980454392|0.614554447535006|0.827879908404414|0.487491425148166,dt4,rep1
Fluphenazine,Mahalanobis distance (cutoff = 1),11,0.7823118965387856,poly1,3.1230905590999867,2.32130729875474,0.21989078085167,NA,NA,NA,NA,NA,NA,-0.2761690965693505,1.0553387484308219,3.6964369559188213,6.966518662852774,0.0011892780961735505,-38.26908172844874,0.9973400222296429,5.555555555555551,NA,2.443230898351887,0.5555555555555551,1.1111111111111103,2.2222222222222205,3.5577294032463493,3.5577294032463493,4.799376964979325,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,2.65895509315203|3.0050713096113|1.84156072755812|-0.297638688630898|11.592512943138|0.311298556135134|0.222185714216088|0.167658652066947|1.2189209319997|0.590328293623471|0.607277014588729|0.773155596626768|0.875357425988139|0.538051594157896|0.344010446961406|0.188743212236169|1.42854196780931|0.991939051906392|-0.450881837306577|1.59426608679431|0.320085606721015|0.271502800724365|1.14748173082138|0.851286540825365,dt4,rep1
Berberine Chloride,Mahalanobis distance (cutoff = 1),14,0.7823118965387856,pow,6.486859738405848,0.41692856716912663,0.4283259822473471,NA,NA,0.5368200113058836,NA,NA,NA,-1.0884687192673188,1.0553387484308219,4.860519122792311,5.933012856548818,3.028251188255102e-19,-13.461783620429188,0.9999999999982281,27.493800225683437,NA,5.07474754453337,0.37706221070685764,1.3714444988024006,4.988195475143011,3.0713156086049014,3.0713156086049014,5.364305907795186,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,5.12670220789779|4.48152227892555|4.93624980800675|5.07742058980658|4.94209442688403|4.30605302691131|2.81680997837337|2.50026856941438|3.1149602585474|1.9305376313982|0.807849151241569|0.999670427133078|0.886673831344519|0.717927589139182|0.231563447432367|1.46800456560524|0.734071993917913|0.445795877083614|0.576616846647197|0.254008413492699|0.486285042025|0.33071889739132|-0.0528608945732945|0.293855504521773,dt4,rep1
Rapamycin,Mahalanobis distance (cutoff = 1),24,0.7823118965387856,hill,3.7686667075007634,0.8621931958020385,NA,NA,3.545133262368347,0.3000000000134083,NA,0.09743473652220021,NA,-0.5035402874247035,1.0553387484308219,0.0018264356546463714,0.015816748513676912,8.930159192157769e-13,-28.637846209124348,0.9999999999981888,0.03137433854808506,NA,2.948272799367503,2.796067088657749e-6,3.26732154721294e-5,4.5214726266991297e-4,0.0014525716958129192,0.0014525716958129192,0.0055736763120644165,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,4.18936730935194|4.18247114722376|2.60088972579036|3.7464884231239|3.15241348472077|2.55093949623702|2.40947512792324|1.58325814897463|2.9212801417281|5.42049098692153|2.25499513373138|2.30679285372291|1.5174599970509|1.28398205423575|1.68486958293266|2.03196305776568|1.80850087743283|1.88490498875971|1.74561398239854|1.45540377354185|2.21151002860296|2.37224248558701|1.36868132100175|2.06227929019193,dt4,rep1
Amperozide,Mahalanobis distance (cutoff = 1),15,0.7823118965387856,poly1,8.728717285375101,0.8404078594452067,0.091047724984969,NA,NA,NA,NA,NA,NA,-0.3494363621386453,1.0553387484308219,10.649705096376007,12.675552494700247,5.170687791986595e-11,-26.840040247278665,0.9999998794591577,37.50000000000001,NA,6.828579373872676,3.7500000000000004,7.500000000000001,15.000000000000002,8.592327778293603,8.592327778293603,11.59105017291807,75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,6.59043398235584|7.08069272494335|6.51799897101654|3.44136460927399|3.48387209487165|3.17874186138154|0.0842677375175809|0.883896471327007|0.289385031364746|0.214778219056943|1.10876210667627|0.407172892898604|0.9763508107348|1.4968578630138|1.31406298022557|0.451999673339633|0.857519848352637|0.494722011409854|1.98862006047684|1.28905126685624|1.24515266415704,dt4,rep1
Etoposide,Mahalanobis distance (cutoff = 1),12,0.7823118965387856,hill,3.9485147162416854,0.4533677296103066,NA,NA,3.1060605427352908,2.1323084671649375,NA,0.6554754908885683,NA,-1.0779792604575955,1.0553387484308219,0.3877544623957714,0.5928379787503942,4.4429756354760147e-13,-12.595040326287382,0.9999999898477806,0.6521013312981473,NA,3.088970036174338,0.16431221980850969,0.23323409739558962,0.34103696034712777,0.3933875531235437,0.3933875531235437,0.4800098104563579,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.62555409950922|3.40335095531811|2.93425591836626|3.14102214199381|3.04107027998825|3.1182264688694|2.09982423536973|2.52707361526194|1.80335977093293|0.652823515279496|0.436415529446008|0.818729671678248|-0.1823756165221|-0.872317052325438|-0.192229104263436|-0.577786057687586|-0.0994353603090246|1.25421048616484|-0.502944807450672|-0.0509663920346002|-0.648322674147689,dt4,rep1
Latrunculin B,Mahalanobis distance (cutoff = 1),13,0.7823118965387856,exp5,6.0016748324858655,0.8447774193197155,NA,NA,4.695181620611116,3.4402100922191856,NA,0.4830349082204952,NA,-0.48125932114184505,1.0553387484308219,0.29814145616954457,0.4612367116705332,1.3815893585827125e-12,-25.506852020312795,0.9999999992430634,0.4830349082204952,NA,4.695181620611116,0.22661459373808512,0.27935692728756034,0.3474512731488329,0.3276039763026747,0.3276039763026747,0.3610276652081978,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,4.7922323643431|4.35806170525587|4.57612171261025|4.03741678024758|4.04133240321194|4.15886317298105|6.24295441401613|6.30210074737446|5.8042285734478|0.890078530669701|0.667653648365507|0.493135136566881|0.205656539303436|0.452311200739814|2.30129889077062|-0.304603484286031|-0.910077607483258|-0.313378862857331|0.928208553205476|0.107141519476222|-0.232776572148334,dt4,rep1
Fenbendazole,Mahalanobis distance (cutoff = 1),11,0.7823118965387856,pow,3.352747412699487,0.5688101216998026,3.2055664878205006,NA,NA,0.4378751402965212,NA,NA,NA,-0.8297857667481703,1.0553387484308219,0.058721602676277414,0.10996891333345207,8.555396123090791e-8,-15.113387853758226,0.9999653180568254,0.12988258462829816,NA,2.622894187044442,6.757637235491918e-4,0.0032905913177619685,0.016023338991416326,0.03991559970492672,0.03991559970492672,0.07907846580963994,0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002,2.52950212603853|2.53478313589313|3.43751856921405|1.6132806442561|1.43515625590573|1.49882586035812|0.487691416041842|0.258247571569444|1.17777375999873|0.397337380272331|0.331799429673417|0.260623614027442|1.04894171451608|0.945257915897666|0.61236411915003|0.480724647026681|1.14368253410788|1.7290887553742,dt4,rep1
Staurosporine,Mahalanobis distance (cutoff = 1),15,0.7823118965387856,exp5,4.23056875273405,0.5218028833708019,NA,NA,3.3096242643890994,3.192518609864131,NA,5.470166145532862e-4,NA,-0.8313168423902265,1.0553387484308219,4.049735990359304e-4,5.519819408658991e-4,5.799659683476365e-12,-12.824402427936299,0.9999999989823909,5.470166145532862e-4,NA,3.3096242643890994,2.4199612858492295e-4,3.032007404650739e-4,3.835435563599279e-4,4.069880603508337e-4,4.069880603508337e-4,4.5463073905045265e-4,0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.005|0.005|0.005|0.005|0.00158113883008419|0.00158113883008419|0.00158113883008419|0.00158113883008419|5e-04|5e-04|5e-04|5e-04,3.53573355491238|3.66240377285116|2.21617298538886|2.96339437619032|4.18725858851306|3.2050113392348|3.28165626262225|2.84802269196488|3.98779089643885|3.25915625329599|3.67750938681411|2.64767667974207|1.37516509762098|1.52603983243062|1.58753047159055|0.482524647695688,dt4,rep1
Taxol (Paclitaxel),Mahalanobis distance (cutoff = 1),12,0.7823118965387856,exp5,5.132519788424646,0.4318192897352501,NA,NA,5.063003177896848,0.37025368551204463,NA,0.014938999973597957,NA,-0.9968206037091156,1.0553387484308219,5.569875569569121e-4,0.001156049385170929,1.4206863159062295e-9,-7.425938305114823,0.9999999984463089,0.00635311129388319,NA,4.015231289705332,6.950565031609485e-6,4.781162966731516e-5,3.501658565512318e-4,3.2420787894544585e-4,3.2420787894544585e-4,7.930971982607005e-4,0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,4.3598407768272|3.68804566368432|4.21916931512901|3.18474184931003|2.07896076792069|2.96001349404297|1.7657293358507|2.28217185858627|2.75165851543384|1.84075040988131|1.08014203551432|2.07208647858152,dt4,rep1
