,name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
1,Ca-074-Me,Mahalanobis distance (cutoff = 1),11,0.747922789,poly2,4.492439595,0.304312179,-13.44371053,-17.11040393,NA,NA,NA,NA,NA,-1.374454196,1.008947842,1.267949431,1.573671458,1.81E-18,-4.213289373,1,2.504924015,NA,3.359997949,0.216561853,0.438900025,0.902932125,1.011738466,1.011738466,1.39842507,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.93369347127436|3.29620223429191|3.42717750807732|3.38882762062937|3.06268728764236|3.93089950453992|1.9239513216631|2.02537045847094|1.93821000649081|1.07371724659991|0.91701841705566|0.51369663796801|0.137760619777913|0.153765260860494|0.16542751567435|0.385534904802357|0.69880557045142|-0.0243308976290706|0.237828389596971|0.612426916605268|0.278289918518648|0.475354061179992|-0.166974755646253|0.455742222149329,dt4,rep1
2,Tetrandrine,Mahalanobis distance (cutoff = 1),18,0.747922789,poly2,9.798132122,0.727678032,-29.32478897,-16.30520788,NA,NA,NA,NA,NA,-0.487431195,1.008947842,0.547494383,0.630919709,6.12E-14,-25.31925959,0.999999996,2.386682315,NA,7.3282463,0.206344372,0.418191794,0.860326417,0.427045664,0.427045664,0.581752847,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.26386276501193|6.14131175341338|6.64552712618223|5.22409978346598|5.55162403927252|5.38164949180726|0.903969804054295|1.44730379673915|0.907016912264452|0.363259308943243|1.14325104861988|0.740610237125353|0.472996862588537|0.454426360749706|1.1429287256079|1.09310055850334|0.851377596491205|0.90687527331512|0.354785488459815|1.70431130829393|0.822470234811212|1.21515560993517|0.79858855353485|0.133613777963585,dt4,rep1
3,Fluphenazine,Mahalanobis distance (cutoff = 1),15,0.747922789,hill,1.762531768,2.330367776,NA,NA,1.455227015,0.300000001,NA,0.005862295,NA,-0.39448887,1.008947842,0.002037258,1.5302727,0.000139631,-36.79748803,0.99670868,0.003123967,NA,1.318237675,2.27E-07,2.69E-06,3.84E-05,0.007061594,0.007061594,0.088908099,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,2.31503624839586|2.51814975725047|1.864022564688|0.0930367357001081|12.1414279604065|-0.582007892943572|1.11541379790711|0.597507270458126|1.1165033743546|0.656956136210873|0.626690807320098|0.988889348579691|1.55550044248478|1.22694764182736|0.886422917357949|0.760310189313373|1.52506610416011|1.64816762870201|0.182654943753555|0.973273455455185|0.712737768642165|0.316442714724869|2.02835389574306|0.42804123375174,dt4,rep1
4,Berberine Chloride,Mahalanobis distance (cutoff = 1),20,0.747922789,pow,7.411094671,0.357047687,0.847660905,NA,NA,0.407758487,NA,NA,NA,-1.203902787,1.008947842,1.391955056,1.698176115,2.58E-22,-10.18714676,1,18.27024524,NA,5.542926593,0.064463262,0.35283195,1.931183435,0.735652268,0.735652268,1.532914938,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,5.67247777392436|4.79663710039549|5.42640571720363|5.40525482946955|5.4615974184445|4.94409609568663|3.48314015602558|3.33610624287842|3.53406996769256|2.60801745780505|1.73714278103937|1.54110926362236|1.60593743123133|1.24855580489551|0.836831587958537|1.18329627161916|1.25684250887844|0.866859388356176|0.801687495735906|0.68174431929011|1.00742838741086|0.243999841705389|0.168563114473883|0.68561840218416,dt4,rep1
5,Rapamycin,Mahalanobis distance (cutoff = 1),24,0.747922789,hill,3.625713129,0.346653227,NA,NA,2.891910878,0.3,NA,0.002375216,NA,-1.232907008,1.008947842,9.26E-05,0.000728681,1.07E-20,-9.484195283,1,0.001567115,NA,2.711753474,1.04E-07,1.24E-06,1.79E-05,7.10E-05,7.10E-05,0.000296797,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,2.84705117265517|2.43616091804011|2.28358418604206|3.12809101188216|2.87046052641981|2.68727451542782|2.93585358678277|2.3969174518012|2.72985484436254|3.21660610989279|2.59052934131235|2.79509704295024|1.91981964718656|1.81777653511243|2.15043040305795|2.29683867040741|2.3040496395596|2.1320523858004|1.88923029815343|2.19968200450053|2.14161125360476|2.63195393325135|1.55114983997153|2.40558983193971,dt4,rep1
6,Amperozide,Mahalanobis distance (cutoff = 1),19,0.747922789,exp3,9.405525519,0.777159521,0.728950695,4.252047797,NA,0.300000411,NA,NA,NA,-0.445800608,1.008947842,2.433063796,2.951182592,4.06E-12,-24.8467932,0.999999997,28.10410944,NA,7.034606875,0.190239507,1.150010005,5.411597368,1.332819703,1.332819703,2.660975205,75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,6.91302627799442|7.41705155932149|6.98222209734318|3.92653042207885|4.29407991931445|3.56406873099877|1.0883333228831|1.52720320917619|0.354034131678588|0.734457055636765|1.79609372513951|0.877651470335382|1.2639156326418|1.29869783614672|1.15367824173385|0.972535034801547|1.46376650703634|0.767952004938656|1.29825192603119|1.38364132682885|2.13683586428573,dt4,rep1
7,Etoposide,Mahalanobis distance (cutoff = 1),10,0.747922789,exp5,4.918848381,0.31062625,NA,NA,3.678918798,1.767124969,NA,0.606891965,NA,-1.315612292,1.008947842,0.345713484,0.442801689,1.76E-17,-6.237954064,1,0.606891965,NA,3.678918798,0.139066268,0.208991726,0.319563081,0.322899202,0.322899202,0.392264243,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,3.05172640647279|3.85727699902314|3.33031625236627|3.87045127652769|3.89562381498754|3.66228457846496|3.20925378264878|3.0523098545876|2.69505940034462|0.661521801641055|0.402555966237294|1.02930234420909|0.203108144264227|0.0166039162328171|0.165890987276978|0.259585039033868|0.441124999234329|0.552704029371302|-0.19684747180147|0.306689502237589|-0.605657272698351,dt4,rep1
8,Latrunculin B,Mahalanobis distance (cutoff = 1),16,0.747922789,exp5,7.186918861,0.581358899,NA,NA,5.375260396,2.804120405,NA,0.465403843,NA,-0.921898192,1.008947842,0.270239091,0.345026968,5.36E-17,-17.02327067,1,0.465403843,NA,5.375260396,0.183898753,0.237718926,0.310661824,0.26952143,0.26952143,0.302914637,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,5.26688352104564|4.82365233100891|5.55581147974254|4.80789406125094|5.36723597460094|5.42642011431051|5.73597385791131|5.51260297562485|5.57757002226272|0.982282162134717|1.2507057594212|1.02358508920546|1.04557127736352|0.788900421884894|1.51608466671329|0.224714811344101|-0.0137718691960216|-0.0763949109794191|1.44379208214481|0.479374506979087|0.330291908784037,dt4,rep1
9,Fenbendazole,Mahalanobis distance (cutoff = 1),17,0.747922789,pow,4.33775096,0.742949889,3.722308817,NA,NA,0.300000096,NA,NA,NA,-0.551377957,1.008947842,0.008276773,0.021832653,2.80E-08,-20.01434747,0.999998873,0.062747582,NA,3.244302795,2.91E-05,0.000293561,0.002958903,0.004751331,0.004751331,0.012888083,0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002,3.98838799863849|3.13559070649652|3.76738180277901|1.91348084897363|1.75832055994512|1.28918852642314|1.07264232201539|0.944960276739583|2.14991796428988|1.04915894042987|0.9437032520628|1.21258894592504|2.6286470956948|1.50948862421021|0.966074248048386|0.953977700135934|0.589053900551481|2.19107421015761,dt4,rep1
10,Staurosporine,Mahalanobis distance (cutoff = 1),15,0.747922789,exp5,4.675520187,0.48354883,NA,NA,3.496928096,3.238663225,NA,0.000554483,NA,-0.875009581,1.008947842,0.000396807,0.000540621,1.04E-12,-11.81649975,1,0.000554483,NA,3.496928096,0.000248166,0.000309934,0.00039075,0.000399968,0.000399968,0.000445179,0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.005|0.005|0.005|0.005|0.00158113883008419|0.00158113883008419|0.00158113883008419|0.00158113883008419|5e-04|5e-04|5e-04|5e-04,3.23468983703707|2.81937314209548|2.45934524219464|3.09764711400957|3.9191458518235|3.6602716783018|4.02312718999131|3.71406908327804|3.56260158355452|3.69653705005689|4.1451368613918|3.03736902032319|1.32293077198028|1.69252478231859|1.55405665099298|0.573415374742281,dt4,rep1
