name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
Sorbitol,Mahalanobis distance (cutoff = 1),17,0.5762683128251835,poly1,0.04777541536310229,1.8817890013631307,0.001101258320232692,NA,NA,NA,NA,NA,NA,-0.14298909887786618,0.7773859540011726,27.858802594667367,NA,0.7305708339898352,-53.31334218809052,0.022574474608355367,12.500000000000004,NA,0.02753145800581731,1.2500000000000004,2.500000000000001,5.000000000000002,NA,523.2816880815212,705.9069972219721,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,2.79023465534745|-0.401429012748979|0.398223883758674|-0.450181033104359|-0.0957343655809897|2.69920829388291|-0.615412667685524|-0.13015971957874|-0.0317860896479316|0.968913737292914|-0.585405135106936|-1.37805512996533|0.77130703628743|-0.372940098798486|-0.406989880622917|-0.577245342098514|0.485031293171069|8.99145476541618|1.73669612398133|-0.739811697651844|0.398104309070878|-0.589518797394982|-0.17130657337074|-1.53922340960036|0.327324069579609|-0.524229081745831|-0.117014964986244|-1.54059655199551|0.849632706244473|0.84003530897792|-0.429179041601039|1.08133398476602,dt4,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),12,0.5762683128251835,exp4,1.7951757594682936,1.0629989282250516,NA,NA,1.034502906133461,NA,NA,0.16359694321352297,NA,-0.11183450201691032,0.7773859540011726,NA,3.1198321506323152,0.0017837478634711557,-36.35682058168834,0.9717760175160183,0.16359694321352297,NA,1.034502906133461,0.012106268920225255,0.02486724144660966,0.05266645225812545,0.19219032163795172,0.19219032163795172,0.32857481810920053,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.721764990018671|2.61343359372895|1.53064485439116|0.297089341878554|1.22321757735259|0.0760547759149035|2.46244719402062|-0.273674919970183|0.458685025858403|2.84152260841072|0.37704261978835|1.36582520828938|2.48779248707155|1.17534016398804|0.0741261690785895|3.20913208581087|0.456388623808192|0.433921506510821|1.63836697938913|0.360777537828463|0.411902286893245|2.71961344386202|0.124575034576792|0.112482441450788,dt4,rep1
Metoclopramide,Mahalanobis distance (cutoff = 1),15,0.5762683128251835,exp4,1.5510827009170605,1.0334885642219978,NA,NA,0.8938398111098032,NA,NA,0.010000000965781628,NA,-0.18778376158953602,0.7773859540011726,NA,2.809049099478048,0.002812303729865759,-35.02961851561889,0.9394799917870852,0.010000000965781628,NA,0.8938398111098032,7.400058859061713e-4,0.0015200310812522946,0.0032192812597858626,0.01492935009259485,0.01492935009259485,0.029402581625904794,100|100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,3.18842841995506|1.51145223500478|1.04464415143298|1.20598822656192|0.0653641878133393|-0.234327480532718|1.9726205174469|-0.0136863004213614|0.953116520971864|1.94064479114276|1.71169987600548|-0.666686014798204|2.23859513671945|0.554890998222439|0.436780150405193|0.936385929642534|-0.182540020225382|1.21432449620015|1.00901145683533|0.525607741694398|-0.269533515018239|3.47639160610851|0.811630287406268|0.519624504616132,dt4,rep1
Ca-074-Me,Mahalanobis distance (cutoff = 1),15,0.5762683128251835,poly1,5.176247238859705,0.7104723428592722,0.29829072631036974,NA,NA,NA,NA,NA,NA,-0.5263527691092853,0.7773859540011726,2.220489028736766,3.1349017561544903,2.414660341201852e-8,-26.463969891645046,0.9999933301646008,5,NA,2.9829072631036975,0.5,1,2,1.9319015376481392,1.9319015376481392,2.6061351742873398,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,3.41050646779531|2.01835094921254|2.71977222281858|3.20579249828564|1.98455064560965|2.23353990812256|1.37941993863779|1.64872038927324|0.597419600761129|1.78307741207766|0.635899460645981|-0.312528867481767|0.213453196014001|-0.301282522179887|-0.687451585685858|0.741260469386968|0.21561825514245|-1.08779498304314|0.403347858809672|-0.570420255758814|-0.442254612019049|1.71033350297873|-0.471366020428388|0.157137872782221,dt4,rep1
Tetrandrine,Mahalanobis distance (cutoff = 1),13,0.5762683128251835,exp5,11.451105898726395,0.5499332464819581,NA,NA,6.598909476244389,2.776867330744283,NA,2.914932650427625,NA,-0.8301895476903961,0.7773859540011726,1.4616853760034105,1.703624064985222,7.311624086527301e-16,-19.80444999896806,0.9999999987746065,2.9149326504269775,NA,6.598909476241566,1.141352265632717,1.4791044042597006,1.9380439473416304,1.4051780535572034,1.4051780535572034,1.5745591473287999,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.55717202911974|6.27800746535342|6.98483167439362|5.05639067434861|5.1745323597231|4.2075125213976|0.744420365490794|0.109517393218297|0.334104846630094|-0.0947824848424021|0.281568428776346|0.357447324768665|0.194819311743468|0.060002891542053|0.860222094612742|1.04108525603849|-0.0655428683160935|-0.379160655541894|1.39479208487553|0.611269983750311|0.978376498887825|0.139460703053768|0.7447811076342|-0.409284270391653,dt4,rep1
Fluphenazine,Mahalanobis distance (cutoff = 1),11,0.5762683128251835,exp2,4.522626470006697,2.3733523497305384,6.216906391990895e-6,0.8582559143208279,NA,NA,NA,NA,NA,-0.476996365628598,0.7773859540011726,9.896391442997665,10.321670286770356,7.333256274955362e-4,-34.93724628170546,0.9989819474390624,10.516215491165992,NA,2.606246325409275,8.540045066816694,9.13492226203362,9.729809693064151,9.81593041399361,9.81593041399361,10.072858579292168,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,3.20173764204667|2.67322478103805|1.8600261616975|-0.860860703418096|11.2130274285441|-0.0710084161938869|0.154346991083415|0.577600041226001|0.531317697660688|0.523101525694421|-0.128766031279496|0.329363045206183|0.645902001436022|0.265919753332547|0.936647424178949|0.0568357382890246|1.56896392925596|0.128137160546336|0.452502964969704|0.538391779738244|0.207224784617564|0.386293591368433|0.854269872574891|1.22522282927393,dt4,rep1
Berberine Chloride,Mahalanobis distance (cutoff = 1),12,0.5762683128251835,poly2,8.206979756031435,0.4029832888830081,-18.922364994162425,-203.1940117624785,NA,NA,NA,NA,NA,-1.086734485031922,0.7773859540011726,7.447523708925963,10.11356080276638,1.1436627524129168e-18,-10.964953841180954,0.999999999993136,29.748199239036506,NA,4.729422377398672,2.5718497580592725,5.2123002147914335,10.723074697521916,6.389031812699051,6.389031812699051,8.722208049509026,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.75236035180591|4.21671831983585|4.8944701816344|5.09479643311931|4.71759558374667|3.96223342606285|2.48441887295458|2.14122492442726|3.06107108354699|1.95197686317514|0.702835529789208|0.529740210460654|0.520328877729856|0.332149946392498|-0.0706332767203621|-0.149913717369166|0.00131091615233103|0.185109481759542|-0.120763238435067|0.812486448457301|0.137701148310803|0.343313604688555|-0.33753373303773|0.166231035326248,dt4,rep1
Rapamycin,Mahalanobis distance (cutoff = 1),24,0.5762683128251835,hill,4.09308753759547,0.9583416004481794,NA,NA,2.6471382110106196,0.30000000005083727,NA,0.01814971597731874,NA,-0.6070385942412326,0.7773859540011726,1.842178978548983e-4,0.0037685008711692085,9.782443548601545e-12,-27.945862035824103,0.9999999999900531,0.008752913762938614,NA,2.3587166495359266,6.623341561823513e-7,7.827775108479386e-6,1.1119759311266085e-4,2.5533454841322723e-4,2.5533454841322723e-4,9.735955444156938e-4,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,2.93623604666357|3.31048437655945|1.4899661126765|3.21089637426195|2.47371844726008|2.11794361824526|2.24252419968476|1.18551304045703|2.29626717451935|5.83450092352254|2.07269806536257|1.92628633817693|1.60864268554928|1.06172701718647|1.83102183666269|1.47941423556549|2.15744024368164|1.96535163935004|1.32317686921886|1.45486444247947|1.56903598791262|2.84074201168423|1.03096789167519|2.13712929790482,dt4,rep1
Amperozide,Mahalanobis distance (cutoff = 1),16,0.5762683128251835,pow,10.162624523632664,0.8091131408667809,0.30112967441247174,NA,NA,0.6873786421963177,NA,NA,NA,-0.5333514312650899,0.7773859540011726,3.5441642146236942,4.50471451081476,5.0201890738777924e-11,-24.670667948698934,0.9999999927568286,27.36038135048659,NA,5.85639848810963,0.9601075600807895,2.6318371108807144,7.21436520885858,2.5707913878027187,2.5707913878027187,3.9738229548890742,75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,5.93683876481219|6.10311958509927|5.43273655319587|3.39738873758101|3.38818129495191|4.18213409762962|0.397552238181384|1.10803912955275|0.124249667734262|0.947465602898109|0.879083958025049|0.707959068667689|0.80875603291001|0.266597240903633|0.80537181598193|0.170405686189884|1.45236826558958|0.207417412294711|2.16295819398262|0.702430221802032|1.55976934800931,dt4,rep1
Etoposide,Mahalanobis distance (cutoff = 1),12,0.5762683128251835,exp5,4.975306989199985,0.4805527172411993,NA,NA,2.867111764453619,2.0964269095960635,NA,0.7787498576348468,NA,-0.8968774778542359,0.7773859540011726,0.44640816367283725,0.6372278228398494,2.6351241653117863e-11,-15.173123226343293,0.9999999456316302,0.7787498576348468,NA,2.867111764453619,0.22491622432563807,0.31705885327600125,0.4535215634023393,0.45472345987414425,0.45472345987414425,0.5356149614920118,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.34105913990783|3.05324977642579|2.30048309394238|3.34236746173141|2.71521086493501|3.39173556303226|1.95030713148644|2.2433547185011|1.7390805226372|0.389386592632124|-0.017964905036131|0.513912989164452|0.222821983278101|-0.864452212396424|0.169597804903777|-0.778378584000162|-0.340484020286482|-0.526048637267401|-0.428263525923399|-0.33318176077789|-1.120175848775,dt4,rep1
