chem,feat,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,minDose,maxDose,removal_reason,keep,exp
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cells_Morphology_AreaShape,Mahalanobis distance (cutoff = 1),9,1.4879676078705628,poly2,1.5744986014477316,1.8965841922284903,-9.372579978221731,-101.5429128459215,NA,NA,NA,NA,NA,0.21991831974918685,2.0072683030173892,NA,NA,0.17975370920729855,-44.83992058360187,0.8124284089512308,14.867994799916424,NA,2.3428029175917278,1.2853718715488882,2.6050330436982465,5.359256575429377,20.09902924578512,20.09902924578512,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.254057925598864|-1.05162340730672|0.86198114084982|2.64061018586305|1.37775345118298|1.9489392726763|4.01642386164682|1.5087303643578|0.207855121312192|2.13254973976939|0.357884307699747|0.337003141760471|1.6048609216741|3.12439936285824|-1.0828876086739|-0.653407824588661|0.965718102976086|-0.933007305589281|1.44491679869756|-0.0234238835883094|-0.240839443750988|0.761672714212259|4.90768672946245|5.78824137370728,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cells_Granularity_AGP_Granularity,Mahalanobis distance (cutoff = 1),17,1.4879676078705628,exp4,1.3854540819770431,1.7860546063635754,NA,NA,2.0615107961738874,NA,NA,0.013717424681420967,NA,0.18467391533264485,2.0072683030173892,NA,NA,5.585261995010799e-6,-45.812079289904,0.9781362963238005,0.013717424681420967,NA,2.0615107961738874,0.001015097402336368,0.0020850909856754657,0.004416024394450734,0.025318634617004492,0.025318634617004492,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,2.14025217740717|0.674621675642676|-0.927080075584872|4.54384962619667|1.59216234830866|2.18091859673266|7.9346756601538|1.27485636274945|1.59624968267321|4.77281814823112|1.45631292758073|1.13710640573145|3.645613129048|2.27421292720656|1.53190505327704|3.25759488223068|2.40789643857708|0.387246145387918|4.68955172257993|1.89623392793866|1.48091392261676|2.95419348637476|1.72419262676784|1.8928344762693,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,missing_bmdl,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cells_Granularity_DNA_Granularity,Mahalanobis distance (cutoff = 1),14,1.4879676078705628,exp4,1.828373190846037,2.877445752411769,NA,NA,2.720560083077846,NA,NA,0.04851168465988269,NA,0.8819601334466143,2.0072683030173892,NA,NA,0.0019058955695276957,-60.00504486051748,0.9779923524227073,0.04851168465988269,NA,2.720560083077846,0.003589892871648473,0.007373926136532945,0.015617274222332512,0.05541042468729179,0.05541042468729179,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.736290225503307|3.56946262922496|2.39422711784838|5.10900320553618|2.01990821055038|1.82853461177166|5.68898837244605|0.95862411758748|-0.665038360550382|5.43895459443785|0.748261556035907|5.69425924327421|4.66530890750912|5.72128792722643|1.13679239341042|0.330428489166107|0.406347393232439|0.479080349205742|6.43402183116022|8.38012949510911|1.26194744072606|1.64673200443484|0.353356907221206|10.056608928819,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,missing_bmdl,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cells_Granularity_ER_Granularity,Mahalanobis distance (cutoff = 1),19,1.4879676078705628,exp4,1.9837407874804396,2.224707512752298,NA,NA,2.9517420341825362,NA,NA,0.013717422042058868,NA,0.6200613910382985,2.0072683030173892,NA,NA,1.1720362011172735e-5,-53.881291249003915,0.999305576061557,0.013717422042058868,NA,2.9517420341825362,0.0010150972070220381,0.002085090584484262,0.004416023544765922,0.013880294452279365,0.013880294452279365,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,-0.37742274074649|0.0470807983309804|5.69968708167025|8.3911947961042|1.55743027733494|1.88472162590437|4.61282488117161|3.3885446848187|3.92925940133191|4.65595724864748|3.06648533796405|1.23049839741744|1.4094649250738|1.08915004438686|2.03452114180154|2.22750669389292|4.03820507303439|1.75165196052696|5.96893580472032|4.13983945199358|1.8212577095452|7.61184275320169|1.52674006826078|4.91430933352625,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,missing_bmdl,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cells_Granularity_Mito_Granularity,Mahalanobis distance (cutoff = 1),3,1.4879676078705628,exp4,0.3416485440264366,1.365303981227206,NA,NA,-0.5083619667874775,NA,NA,0.4780415082340362,NA,-0.16724570868897126,2.0072683030173892,NA,NA,0.6250026858551291,-38.297364031532524,1.7859612175223544e-6,0.4780415082340362,NA,-0.5083619667874775,0.035375349563578753,0.07266378804671081,0.15389499202286458,NA,NA,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,-0.557543426625414|0.30291834907894|-0.473322830344938|2.96391230658304|-0.843723484421281|-0.898963093871352|1.29264068516047|-0.37933278305681|-1.25104792816354|0.615122908007369|-0.430299790982104|-1.03532247796934|-0.172499413626167|-1.24583201837216|-1.22758491741965|-0.445965253156155|-0.726458022183405|-1.29874859111076|1.65855594838484|0.139539995802784|-1.14939991089238|4.21113326604306|-0.43746856344489|0.994629579732902,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cells_Spatial_Neighbors,Mahalanobis distance (cutoff = 1),8,1.4879676078705628,exp4,0.5380417931369946,1.2482531172889018,NA,NA,0.800588759868442,NA,NA,0.013717427008856233,NA,0.05629174050864988,2.0072683030173892,NA,NA,0.16027833199860797,-40.12043494194462,0.0037632050612040444,0.013717427008856233,NA,0.800588759868442,0.001015097574567931,0.002085091339452826,0.004416025143717536,NA,NA,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,-0.78132103976477|-0.316184350041377|-0.529958910030614|1.46458143136338|-0.371285223573608|-0.480452748358172|1.82284040918685|-0.217565790784455|1.00536800158115|1.66010712477595|0.445980192531863|0.528741764045652|1.91607567195016|1.59566483775498|1.26803048522479|1.74951209024684|1.17477617913712|-0.908949484783286|2.93587671715803|0.725868791002014|0.536220981296087|4.13911225738424|-0.633538300602621|2.00799998416695,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cells_SubcellularOrganization_RadialDistribution,Mahalanobis distance (cutoff = 1),9,1.4879676078705628,poly1,1.3928069130270366,1.7056394160033739,0.020724515706024228,NA,NA,NA,NA,NA,NA,0.13324788680976946,2.0072683030173892,NA,NA,0.012403026819283678,-44.84160597637992,0.8578329287694479,50,NA,2.0724515706024227,5,10,20,71.79746098665353,71.79746098665353,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,1.88161126568115|2.28949673158362|1.04420967170354|1.92474213438567|0.981763531269211|2.78614767836972|3.17743731996372|0.917807136605795|-0.812210830884947|1.48268281046151|-0.420810748355523|1.79008020790748|0.173348198134709|0.104675609976107|-0.967990687288836|0.17761326155727|-0.324059427825934|0.243254642460469|1.15641260400089|3.76880208655363|-0.180607338584764|5.11289713211116|3.1002169786633|1.13624345717281,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cytoplasm_Morphology_AreaShape,Mahalanobis distance (cutoff = 1),9,1.4879676078705628,pow,1.1370497718158175,1.7709684378731516,0.4249843417983682,NA,NA,0.3000000116242283,NA,NA,NA,0.10536802124935209,2.0072683030173892,NA,NA,0.03867673792667225,-43.968152389918195,0.6486315067468372,9.921257463007375,NA,1.691893228998551,0.004605041155096708,0.046415902140098345,0.4678429353654587,65.17310654879428,65.17310654879428,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.97122264461447|-1.07227758234125|1.2875800833902|3.01562504623235|2.10860748307622|2.308692124508|2.14502171187839|0.177932584722972|0.809535442964739|1.62415790593508|0.229871950351193|0.196591937052683|2.52729536471676|0.680502900332061|1.25327473608392|-0.302612872887851|1.09044245374151|-1.01659902271319|2.02569311287418|0.0777977474319076|-0.431865074014666|0.858257418783807|2.63429658875816|6.83524576203872,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cytoplasm_Granularity_AGP_Granularity,Mahalanobis distance (cutoff = 1),10,1.4879676078705628,exp4,1.001728670014021,1.8817199123020527,NA,NA,1.4905398128561234,NA,NA,0.013717421380067986,NA,0.2739369491412268,2.0072683030173892,NA,NA,0.0018395181989833325,-47.35560538327277,0.4961699964596976,0.013717421380067986,NA,1.4905398128561234,0.001015097158034328,0.0020850904838596,0.004416023331652459,0.12590691010851415,0.12590691010851415,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,1.88289632059975|-0.272369070384242|-1.15454562536085|4.79529597802296|0.688618110323093|0.958879345758117|7.7183265290338|0.61256927036937|0.650963742294186|3.72485730516482|0.769481324256596|0.243793666871991|3.55762110678361|1.38900218162614|0.800463624376343|2.69038275392421|1.34927429873085|0.237019697697321|3.92327638156442|1.04343802140151|1.36745939908154|2.28905806244297|2.33530911887494|2.00714479285623,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,cytoplasm_Granularity_DNA_Granularity,Mahalanobis distance (cutoff = 1),15,1.4879676078705628,exp4,2.0301025311820076,3.6165205363677595,NA,NA,3.0207268070548667,NA,NA,0.041095004951754666,NA,0.9657174218808442,2.0072683030173892,NA,NA,0.0014306395460867607,-63.268393112287825,0.990143466789669,0.041095004951754666,NA,3.0207268070548667,0.0030410542608647374,0.006246567877806355,0.013229636653505098,0.04022233814109242,0.04022233814109242,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,1.05096757768566|3.44723831753385|2.84523254460997|6.0351643644534|2.23354010751392|3.09168457159865|6.3792649104467|1.54607726883521|-0.562164116286668|6.07085189890108|1.39641742551444|7.10289389413656|4.33326233391612|5.10803090366193|0.580564732654931|0.706323445340333|0.480754722398722|0.253172354065401|7.04363651106967|9.25349900038554|0.75226517178438|2.27924985067749|0.997759152054492|14.981920789676,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,missing_bmdl,FALSE,rep1
