"","bmd","chem","bmdl","bmdu","exp","feat","source"
"46",1.04621236321288,"Tetrandrine",1.03111182644039,1.06628890966807,"rep1","cytoplasm_AGP_Profile","Columbus"
"47",0.65104940206602,"Tetrandrine",0.584007565761839,0.727332177926766,"rep1","cytoplasm_ER_Profile","Columbus"
"48",1.75481610638737,"Tetrandrine",1.72121004712364,1.79165358600533,"rep1","cytoplasm_DNA_Profile","Columbus"
"49",0.123647702576177,"Tetrandrine",0.0458279540019467,0.503523459121521,"rep1","nuclei_RNA_Profile","Columbus"
"50",9.80897992762701,"Tetrandrine",9.43537149064243,10.3062282350209,"rep1","nuclei_RNA_Radial","Columbus"
"51",1.8983077093504,"Tetrandrine",1.54226431724211,2.5117264431527,"rep1","nuclei_RNA_Compactness","Columbus"
"52",0.363830810812642,"Tetrandrine",0.32235821266543,0.418228921779485,"rep1","cells_Mito_Radial","Columbus"
"53",8.71333846937481,"Tetrandrine",8.48478298677641,8.99708329101181,"rep1","cells_Mito_Axial","Columbus"
"54",0.568380753737506,"Tetrandrine",0.316469378903292,1.10013019684519,"rep1","cells_Mito_Compactness","Columbus"
"55",0.0519803616256952,"Tetrandrine",0.0423747598677764,0.0639351630970569,"rep1","cells_AGP_Radial","Columbus"
"56",1.32650195750575,"Tetrandrine",1.0126944099443,1.78497325946501,"rep1","cells_AGP_Axial","Columbus"
"57",0.682099702655758,"Tetrandrine",0.604790155482911,0.781195796982234,"rep1","cells_AGP_Compactness","Columbus"
"58",5.96944752951211,"Tetrandrine",5.65289890012754,6.52365131354624,"rep1","cells_ER_Axial","Columbus"
"59",0.0140294467347751,"Tetrandrine",0.00982724073525878,0.021094326443575,"rep1","cells_ER_Compactness","Columbus"
"60",2.67199934657048,"Fluphenazine",2.50695912434244,2.89031389523879,"rep1","NA_Position_Position","Columbus"
"61",0.910167613646832,"Fluphenazine",0.747775314998122,1.1312042433165,"rep1","cytoplasm_Mito_Texture","Columbus"
"62",9.45572845446707,"Fluphenazine",9.40012538111104,9.50984172730477,"rep1","cytoplasm_AGP_Texture","Columbus"
"63",0.194911182111077,"Fluphenazine",0.0810904574264951,0.63894096047468,"rep1","cytoplasm_ER_Texture","Columbus"
