name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,minDose,maxDose,removal_reason,keep,exp_name
5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),38,0.46190990627947187,hill,2.2164230960483318,0.7824445360016363,NA,NA,1.094734946033991,0.30011822236573454,NA,0.013717421150435189,NA,-0.5049587319811542,0.6231164635710076,NA,NA,1.0874645024408995e-10,-55.346696634696166,0.9999924985158394,0.008901144820351094,NA,1.023787784571342,5.95050042548539e-7,7.0855840745640215e-6,1.0256053482967285e-4,0.00480504442550846,0.00480504442550846,NA,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,3.51520825953613|0.747542361068039|1.91748522456849|1.4802823277974|2.72202498754753|1.15294000059494|3.02822493375617|0.816459038955481|1.98339094086317|0.553600911624733|2.23942712009885|0.289371497109908|1.48011506654148|0.565820675956717|1.1913639383008|0.853992814829222|0.644129591172348|0.884551655374917|0.11123251413396|0.501663803978069|1.35557432915188|-0.155640339895655|1.16447385954202|-0.397691466480307|0.9508409810665|0.668285130132125|0.488221396573985|1.27563675611946|0.236462414048953|0.453838111499601|0.342865627142756|0.600391594309424|0.183501459162232|0.292906364773776|0.633240206504008|0.304139797322688|1.69292074581508|1.13689941121852|0.702033230751885|0.564969050479657|0.661077795491556|0.652716797564744|1.73548965593822|1.33547804735333|1.73625860409764|1.13600016378759|1.12186172380983|1.59728314576984,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,missing_bmdl,FALSE,rep4
Taxol,Mahalanobis distance (cutoff = 1),48,0.46190990627947187,exp4,5.955551132492099,0.645085504971116,NA,NA,2.750928065452028,NA,NA,0.013717421247407581,NA,-0.648089546350786,0.6231164635710076,NA,NA,1.485810524989099e-32,-47.818765307606895,1,0.013717421247407581,NA,2.750928065452028,0.0010150971482173808,0.002085090463694808,0.0044160232889453475,0.003637716174499547,0.003637716174499547,NA,100|0.137174211248285|0.137174211248285|0.137174211248285|100|100|75|0.411522633744856|0.411522633744856|0.411522633744856|75|75|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|0.411522633744856|75|75|75|0.411522633744856|0.411522633744856|0.137174211248285|100|100|100|0.137174211248285|0.137174211248285,3.64686734689308|3.47403708640211|2.76093905417019|2.56974655957458|2.91343751804776|4.10351787780339|2.8864834626008|2.42426546916195|2.06744202038651|2.28488308683621|3.26045564922494|3.44466537406725|1.68405880575469|2.88064708347193|2.72956179469331|2.98360173536799|1.77712860195012|2.54436833499327|2.08975411634417|3.48248301165689|2.39453725276998|3.41405631812194|2.02197599211908|3.07653203526663|2.90508260822242|1.58623454355191|1.85469085186005|2.4925554940615|2.86128359819225|2.93535763983016|2.43353194088638|1.53038940341669|1.4786325977984|2.08452186230228|3.05471022773845|2.81758389449951|2.52709909088227|3.42198390652465|2.80357875306512|3.50156632929626|2.6885505508559|3.28986988431794|2.61762445038361|4.50950764834035|2.86494834399667|3.23808687857092|2.50757934816422|2.81400774180787,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,missing_bmdl,FALSE,rep4
Sorbitol,Mahalanobis distance (cutoff = 1),10,0.46190990627947187,poly1,0.5321145675219863,0.5014342141586556,0.009831559600560893,NA,NA,NA,NA,NA,NA,-0.8844470103615754,0.6231164635710076,NA,NA,0.517677926164408,-24.125996745043235,0.046269682449439874,12.500000000000004,NA,0.24578899001402238,1.2500000000000004,2.500000000000001,5.000000000000002,NA,46.98236343429376,NA,25|25|25|0.025|18.75|18.75|18.75|0.0790569415042095|7.90569415042095|7.90569415042095|7.90569415042095|0.25|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|2.5|0.25|0.25|0.25|7.90569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|18.75|0.025|0.025|0.025|25,0.333792321837941|0.36684884768122|-0.453993588819083|0.668765006431074|1.35085359221554|0.230953903635386|0.0393642584391745|-0.200835610999206|0.147953285915975|-0.0232226663193513|-0.383553025689802|0.221256449830993|0.388271798184731|-0.457907388176622|-0.454900714301296|-0.478529450709637|0.716087398387449|1.04771620748113|-0.223115377851604|-0.0801944092248212|0.582711469999019|-0.000579762871547818|0.16233172366129|-0.879595445010724|0.856681217439923|-0.0536063904012005|-0.43927253668042|0.291848802145674|-0.180855126462929|0.57780323118014|0.531907984885771|0.443673281465132,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,low_hitcall,FALSE,rep4
Staurosporine,Mahalanobis distance (cutoff = 1),31,0.46190990627947187,exp5,11.0917214433526,1.1014678526888892,NA,NA,6.313535133974337,0.37648511711878363,NA,0.04848111065068613,NA,-0.1661899274860095,0.6231164635710076,1.9268960014243177e-4,4.785419060080067e-4,1.2946376663374264e-16,-47.946345640569554,0.9999999999985613,0.022647425844116418,NA,5.123376012377008,2.7257619906455937e-5,1.8185661342797765e-4,0.0012926352212686808,1.365463249588053e-4,1.365463249588053e-4,3.136765057895977e-4,0.5|0.5|0.5|0.00049999999999999|0.375|0.375|0.375|0.00158113883008418|0.158113883008419|0.158113883008419|0.158113883008419|0.00499999999999999|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.05|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.158113883008419|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.375|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.5,4.95005980440516|4.97588055722147|3.88875245268238|0.665400324416225|5.4342659297745|8.19906607673743|3.63012021274559|0.915938562023517|2.58797208020351|4.64092867521998|2.61750198554358|1.10855408639288|3.99230381523406|3.87728511953149|4.38110538775771|1.36647803369334|4.49293095215574|0.121950295911424|1.49897858712473|2.93925294145508|1.42852713642354|0.657408208749689|2.35372082709001|4.39608403521821|2.52793367613289|0.98600660402845|1.33255764907884|5.63910447582911|0.688503444121833|1.58464574349926|0.583754281896874|5.72059499832057,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,kept,TRUE,rep4
Amperozide,Mahalanobis distance (cutoff = 1),36,0.46190990627947187,exp3,8.985086568958351,0.6811577944959349,0.6982791322985247,11.022873056351274,NA,0.30000246277227127,NA,NA,NA,-0.6747378624338392,0.6231164635710076,2.2480152637522135,2.7178089133118273,7.281820586020065e-26,-47.32901363677062,0.9999999998760264,32.19119783344004,NA,4.150300494980494,0.12396441292674519,0.8677463437027431,4.88380277064871,1.1509288143302359,1.1509288143302359,2.4620950996591806,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,4.08791450283902|4.28176653828035|4.47437623937669|3.44036210557264|4.43066345571562|4.82116677569892|3.00803136601231|3.28694010914212|3.632606156275|3.20611804547858|3.40855445670469|3.31828689787566|2.62126821211844|1.76757748907904|1.83937387989379|1.99171672017879|1.79830090251928|3.06803130283975|1.38210043333291|0.455623919718703|0.792264964172279|0.561969416321676|1.97725467386426|-0.0395643776170438|1.27193354264632|0.345127434351227|1.76054963894028|1.08015907619871|0.833402611116369|0.106779648178452|1.16232800204419|0.367466897086117|0.877446485816385|-0.0537090162941869|0.984689794865746|0.692283916082743|1.19905535703997|0.305986965275592|1.66716272273181|0.379249569412788|0.977317699206843|-0.309255750550784|2.89945603967102|0.115969235530031|1.04273356804527|-0.0864954852044875|1.30660544656292|-0.160767102408333,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,kept,TRUE,rep4
Berberine Chloride,Mahalanobis distance (cutoff = 1),29,0.46190990627947187,exp5,6.942682120687586,0.40298669023779793,NA,NA,3.206893647695153,2.3091115392326156,NA,19.425582931529668,NA,-1.179873180190221,0.6231164635710076,10.278732378035235,13.156614456268226,3.655462233430163e-33,-23.749722483135347,0.9999999999913034,19.425582931528968,NA,3.206893647694968,6.290383370486775,8.59134872274227,11.890515307050906,10.169645043051982,10.169645043051982,11.725329831306958,0.137174211248285|0.137174211248285|0.137174211248285|100|100|100|0.411522633744856|0.411522633744856|0.411522633744856|75|75|75|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|75|75|75|0.411522633744856|0.411522633744856|0.411522633744856|100|100|100|0.137174211248285|0.137174211248285|0.137174211248285,-0.419059968201583|-0.171997942714695|0.00710403216426103|3.17285840066221|3.05699567084152|2.75612743074282|-0.600070201346746|0.291358805404798|0.00435913623557838|3.37020531478261|2.93330337473226|3.49826520521392|-0.237746507833148|0.226723054443996|0.184057067823916|2.58505528418718|3.01740506607992|2.34598126469923|0.337768862112433|1.09110799871718|1.12819434121588|0.396420122528903|0.622702637403704|-0.104412968990221|0.557932522615748|0.544890756022085|1.38376996871535|0.887364297668607|-0.235112930926566|-0.254148101872119|3.01988335896977|3.38433162160928|3.03855654902276|-0.588333300367818|-0.322442346135562|0.732915206976067|3.25064784079233|3.41734092906311|3.2587884566849|-0.111417903358813|0.324625425887012|0.551544068349562|3.14209358077841|3.30468171973242|3.17272009967453|0.0997350022686336|0.0850392868726511|-0.207865769766875,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,kept,TRUE,rep4
Tetrandrine,Mahalanobis distance (cutoff = 1),24,0.46190990627947187,exp4,12.478535674493209,0.7500837122491147,NA,NA,5.790912025494793,NA,NA,4.302622769701541,NA,-0.694155033507708,0.6231164635710076,0.6128400772900119,0.8174465656316939,2.0964278308655507e-25,-37.8815063753728,0.9999999999738624,4.273798672361138,NA,5.763959243910205,0.31687618744367485,0.6508026758254385,1.3779165692143618,0.5159927800306623,0.5159927800306623,0.7066695691811296,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.305392291862951|-0.134519001951217|0.0845175380516037|0.162310924610346|0.396982336344015|0.899684020695728|5.84748475304533|5.78336130481477|4.18177378136932|1.43053588827353|0.0961781343686234|1.44548359102836|6.80916109135064|6.94164628397031|4.19883978915834|2.91711557069688|2.61232974714689|2.69623125668134|2.59775491654369|2.64682945496972|2.38887960967528|4.30303934100494|4.85778808165595|3.84033592385522|1.84139715415811|1.20069651313725|0.120514022457327|5.37949125740904|6.81148079221517|7.38956914370852|1.00953421958578|0.221009968011943|0.397824503140098|0.0798396906984609|-0.126135818283647|0.143424909712551,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,kept,TRUE,rep4
Fluphenazine,Mahalanobis distance (cutoff = 1),24,0.46190990627947187,exp5,24.141477037427407,0.7965743363488732,NA,NA,12.103222338790182,1.5054979502526837,NA,31.632309231215515,NA,-0.5958398160493146,0.6231164635710076,5.248783891211364,6.2263697089535945,3.6693075929405325e-21,-41.23601336567256,0.9999999999732637,29.292770474939903,NA,11.151187395806115,5.306599381137173,8.547197301954593,14.022525038444082,4.670298127148191,4.670298127148191,5.723987023721189,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,11.1530956457114|5.2763782443038|5.24999981026924|6.16271728262866|6.76384330988923|8.29919656951749|8.20787510725329|2.44072494513504|1.77358630045468|1.73315970770181|1.1547477897246|1.31934440602011|1.62389276272788|0.816996736536911|0.0257176060588087|-0.159518034174806|0.217822875458181|0.491361087036788|-0.210235468958751|0.231405964982714|0.054632076215583|0.517108544579464|0.36184919439477|1.30161304210259|-0.697957390381726|0.441255704621474|0.452003403379095|0.544584654231655|0.483159286180927|0.192401337614427|-0.555638350637037|0.856987966941702|-0.178625434994322|-0.0564704705823127|-0.299252516324258|2.64158816151079|0.612619004390434,dt4,0.137174211248285|0.137174211248285|0.137174211248285|0.411522633744856|0.411522633744856|0.411522633744856|33.3333333333333|33.3333333333333|33.3333333333333|1.23456790123457|1.23456790123457|1.23456790123457|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|11.1111111111111|11.1111111111111|11.1111111111111|1.23456790123457|1.23456790123457|1.23456790123457|33.3333333333333|33.3333333333333|33.3333333333333|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,kept,TRUE,rep4
