chem,feat,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
NPPB,Ring_AGP_Intensity,Mahalanobis distance (cutoff = 1),24,0.8518946031153483,exp4,6.199901321524411,2.4368687671815814,NA,NA,5.281662475654361,NA,NA,0.08086691048248024,NA,0.5957802881591272,1.1492058196026047,0.005545952756921806,0.05916307044899347,3.6171084798958374e-10,-54.39167227254811,0.9999999996154318,0.08086691048248024,NA,5.281662475654361,0.005984198395265397,0.012292020550680932,0.026033330431051743,0.02052086872168041,0.02052086872168041,0.02862627345694703,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,3.30609591485965|7.27120488252722|13.0524410558678|4.23500487613591|6.38883373265199|4.90787066289935|2.40366014591379|9.22406137668117|4.65060976984069|4.85044469096797|8.15308721806498|3.76803793371996|6.6785088891818|3.34509830888158|1.91910792607531|3.72853314768486|8.32726314855207|5.55459356847797|4.40821574089583|7.62619676781711|5.15734571752102|3.2720215843825|4.46608347801533|2.92853139995808,dt4,Definitive_rep3
NPPB,Cytoplasm_AGP_Profile,Mahalanobis distance (cutoff = 1),17,0.8518946031153483,poly1,4.052360152799414,5.8908190591041745,0.03452183744049509,NA,NA,NA,NA,NA,NA,0.5746523872246927,1.1492058196026047,21.501672095499643,64.14436770725592,0.027216949825261124,-64.47346015475331,0.967952810090002,50,NA,3.4521837440495093,5.000000000000001,10.000000000000002,20.000000000000004,24.676977422877606,24.676977422877606,33.28924254346189,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.965797661597073|23.7989735136367|2.66604028789801|2.06972086786694|20.9200066190468|3.77049963410646|1.48053276235596|1.59725438722553|3.0949389593523|0.159645615290996|0.965810218307441|1.32950932887974|-0.360572542911681|-0.6363104094027|0.711615621982822|0.679171970028829|-0.146827808777927|1.73172216364627|1.07715439406224|-0.498689063236815|1.42791766779691|6.30108155552552|1.18807765805693|4.48787759814025,dt4,Definitive_rep3
NPPB,Cytoplasm_DNA_Profile,Mahalanobis distance (cutoff = 1),11,0.8518946031153483,exp2,5.504808312527273,4.27046990854301,0.007328410522882406,15.472959752444503,NA,NA,NA,NA,NA,0.330896167779283,1.1492058196026047,74.62216580094844,83.86901052458457,0.0175658964398066,-56.69244427419788,0.9819728663479276,89.29908496472166,NA,4.689516492626491,54.09918929101675,64.58796194222069,75.19350068261173,73.71735581550789,73.71735581550789,78.31521653145592,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,3.68516532353927|21.3327473163073|5.15914735459704|0.134884005582132|12.0075443862631|0.842226844198196|-0.413496893897391|2.48064604838872|-0.0544175387596565|-0.416619695420772|1.87146159791592|0.107549866695509|1.33461836221562|1.09281915173561|-0.508834112983138|-0.554433311297278|1.35415429165619|-0.589982736921744|0.597388987239356|0.308679106449173|0.401868834006712|3.42821489501757|2.73032929352812|0.847459062312796,dt4,Definitive_rep3
NPPB,Membrane_AGP_Texture,Mahalanobis distance (cutoff = 1),13,0.8518946031153483,poly1,5.067540165008894,5.24041188431147,0.043170101176413386,NA,NA,NA,NA,NA,NA,0.5606632069792298,1.1492058196026047,17.879306546971648,56.86568954825827,0.029004823504829934,-61.52989608915025,0.9650027031509594,49.99999999999999,NA,4.317010117641338,5,10,20,19.73344004069171,19.73344004069171,26.620410614893117,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,1.19324989711409|26.2379823560861|5.24525082157038|4.93399190936632|13.9893494585001|-0.400808345317406|1.51620525409654|1.67533439197494|-0.379599105870997|1.17251589602657|1.71122738800082|0.21250196346256|0.0559530475828905|1.0156631814952|0.142141728819898|3.52786670350562|-0.0661489651985194|-0.735682686606678|0.628977984122218|0.603106191478493|-0.587762457387792|3.87336091251857|-0.153556863416763|1.13234877164307,dt4,Definitive_rep3
NPPB,Nucleus_DNA_Texture,Mahalanobis distance (cutoff = 1),8,0.8518946031153483,pow,5.30310438005434,2.9962021239169174,3.025833103513224e-11,NA,NA,5.587035536196915,NA,NA,NA,-0.042118188783927084,1.1492058196026047,74.2972930919918,85.14035465354368,0.003977602923353629,-47.6949622995197,0.9956924972521839,88.33237484683293,NA,4.517686001125657,58.497069669588726,66.22381631991871,74.97117159450296,74.18556184927779,74.18556184927779,78.26898149462394,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,2.78772593382496|16.4924525938116|5.2745711672324|1.00509691576334|8.28750588294384|0.278283241143835|-0.0078488596693701|0.724928277602307|-0.695391547075462|-0.296187749925996|-0.469611059928922|-0.325591733396061|2.29697792058131|1.13023993549828|-0.366151251019757|-0.594520876967329|0.732979863704919|0.7842168153101|0.132249765247984|0.0981149102163931|-0.358133826419341|1.86847543815315|-0.468787632268898|0.334929153897034,dt4,Definitive_rep3
NPPB,Nucleus_DNA_Intensity,Mahalanobis distance (cutoff = 1),8,0.8518946031153483,pow,9.271768103660623,1.469206616011265,4.124715150996285e-18,NA,NA,9.141077232963966,NA,NA,NA,-0.17496917526435013,1.1492058196026047,80.01328479714316,82.33600010676237,1.1687933124930238e-4,-38.552381121007606,0.9998255461631577,92.69758784553925,NA,7.898569208845512,72.05632958030264,77.7326910602778,83.85621769339105,78.37832845789997,78.37832845789997,80.98765480344483,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,2.42798904768088|8.32422131072037|7.97178941540247|-0.122851085230929|2.40730498695826|0.294758447398838|-0.701974023182787|1.25902491171837|-0.5761113465323|-0.441356374675374|-0.195774912948172|-0.649903500228285|2.66121627852539|1.43273454590613|-0.532970453400923|-0.662781812306344|0.0406563950138957|-0.707765898711889|-0.0335110226816058|-0.699534922595388|-0.381460630316832|1.92120118782147|0.0385231483624182|0.0700553818597552,dt4,Definitive_rep3
NPPB,Nucleus_DNA_Radial,Mahalanobis distance (cutoff = 1),9,0.8518946031153483,pow,5.46503699643301,2.800382517703664,1.1501253782342348e-17,NA,NA,8.803616893358559,NA,NA,NA,0.27947844497633545,1.1492058196026047,81.67135527106247,91.84798485380362,0.0510682237767037,-52.27930638445779,0.9459875382800625,92.42854149446794,NA,4.655635523086994,71.1568022579568,76.98574607737989,83.29217883632587,82.45500782593389,82.45500782593389,85.30707528520799,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,2.30703091172698|14.4804652331564|5.36251924133015|-6.17086995285954e-05|7.55597340132214|-0.276462502516692|-0.621159567144354|2.50272014384699|-0.543194304854339|-0.697077028993413|-0.523173728911697|-0.231333947541286|3.42429001271093|1.03938277542036|-0.464655631565724|-0.456935235304925|-0.306271701717244|-0.692949615625367|0.579184824540861|-0.46461894249438|-0.369167826049885|3.15866941178131|-0.343156785786576|1.06293462146916,dt4,Definitive_rep3
Metoclopramide,Cytoplasm_AGP_Intensity,Mahalanobis distance (cutoff = 1),6,0.8518946031153483,poly1,1.4573719422797766,0.48936223615435503,0.012415272923598746,NA,NA,NA,NA,NA,NA,-0.9222217686355686,1.1492058196026047,73.00844157601277,128.45191203237584,5.894634671063288e-4,-16.669806344444574,0.9405619822246399,50,NA,1.2415272923598746,5,10,20,68.61666339175525,68.61666339175525,92.56387891547783,100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,1.33368939856085|1.22911349932285|0.102562713445165|0.921791483249741|1.17168546329356|0.252795355225162|1.03636116899387|0.559458258985999|0.106089959691414|0.0819904815718326|-0.389841964557153|-0.356032681299962|-0.550861840843977|-0.335111474521537|-0.707368928626588|0.59625061033797|0.0828341004281173|0.75835825440926|0.724366844750811|1.18300438734874|0.104236417894983|0.129185647220847|0.113995892023396,dt4,Definitive_rep3
Metoclopramide,Cytoplasm_ER_Intensity,Mahalanobis distance (cutoff = 1),8,0.8518946031153483,poly1,2.247817198298413,0.7203636258261856,0.019149033400202808,NA,NA,NA,NA,NA,NA,-0.6085749171617394,1.1492058196026047,46.68364419120646,90.01999876814837,0.004406925347667412,-24.34683983050548,0.9743717326125035,50,NA,1.9149033400202808,5,10,20,44.48760338505263,44.48760338505263,60.01377696643599,100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,2.50227216699405|-0.263043418802374|1.23781968232486|1.4880065521045|1.80624332335962|0.244237051389335|1.03099581651507|-0.322597422099355|-0.491679330081954|0.31821228448433|1.20948030433905|-0.240278586162191|-0.374814816553133|-0.274447535237707|-0.255476932029574|-0.0424065219489809|0.986273081663677|0.465137094862396|0.223083372395168|0.226962781373165|0.649031036352735|1.27993056418612|-0.456534568918007,dt4,Definitive_rep3
Metoclopramide,Cytoplasm_ER_Profile,Mahalanobis distance (cutoff = 1),9,0.8518946031153483,exp4,2.1745872745303076,0.5911406296661043,NA,NA,1.8525191631756832,NA,NA,15.69541770373906,NA,-0.7396555355357379,1.1492058196026047,12.541537715223564,40.69478834949469,1.7168610472588527e-6,-20.85235393011076,0.9999349762655151,15.69541770373906,NA,1.8525191631756832,1.1614700360796406,2.3857520438805397,5.052795919826094,13.946755085972166,13.946755085972166,21.93040625598325,100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,3.29517056509328|2.12584412997325|1.602360011252|0.660946671941038|1.28599292254964|1.91405085085617|2.11084974342882|1.06806886142513|0.913453181105529|0.285134340534548|0.615177321697379|0.114053283978299|-0.160204851288746|0.149132943426896|-0.163163151532286|-0.0568055831400326|-0.0310834214167832|0.347414253211029|0.128716713079973|0.803999125864851|0.725276902004075|0.808904458337366|1.0123485537846,dt4,Definitive_rep3
