chem,feat,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
NPPB,Ring_AGP_Intensity,Mahalanobis distance (cutoff = 1),19,0.8589065274341403,pow,3.690915327320537,1.55792616904993,0.7963053089025116,NA,NA,0.30000018717640337,NA,NA,NA,0.19996313348114655,1.1586649055086553,1.4163806719537306,11.44444193793579,6.309139369131427e-5,-44.13937421989235,0.999898706219801,9.921270876932942,NA,3.1701512668423257,0.004605068064322346,0.04641611061168764,0.4678444040834081,1.2869279664752358,1.2869279664752358,3.490817414913572,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.44274546462148|8.12971965771979|5.15082958775283|1.84165487428277|1.25099557282579|0.698574539918496|3.07505835114037|1.54560774324364|1.19856978112828|2.60595191084088|1.54694850812209|1.17494707773095|-0.120795055678574|-0.237917194887789|1.76979530089245|-0.103052455828485|2.77985726074526|1.01988852638118|1.98012209721266|1.43079565040789|0.761866372303681|2.31423371233366|1.33321773995306|0.932052625734477,dt4,Definitive_rep1
NPPB,Cytoplasm_Mito_Texture,Mahalanobis distance (cutoff = 1),22,0.8589065274341403,hill,5.613302676379946,2.5594474277696264,NA,NA,4.821302309206265,0.30000000037772645,NA,3.598263204774091,NA,-0.20035406507396625,1.1586649055086553,0.029075682933362792,0.20523325375671422,1.6147198466786851e-9,-41.76844486518287,0.9999999983415555,3.598263204774091,NA,4.821302309206265,1.965988304926103e-4,0.0023729280332853613,0.035418184227610464,0.022015054555484692,0.022015054555484692,0.07761982972270844,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,3.7349062787517|3.06764848518177|3.65789804679677|2.87746172931594|3.7630850752383|6.5141216075779|2.67893095687938|1.90687028381578|4.13143212460033|4.54725151832506|1.74031000829468|3.43646247268842|0.707743874229029|2.43547780871296|2.16751872051542|1.98751108899787|1.82732839766627|2.15892582145575|2.53869697271417|1.79348486594934|2.1295909925394|12.9241698212483|0.374131885606264|1.26209149281179,dt4,Definitive_rep1
NPPB,Cytoplasm_AGP_Intensity,Mahalanobis distance (cutoff = 1),21,0.8589065274341403,pow,4.150212076104593,1.4356183909894646,0.89539769552116,NA,NA,0.30000011035483565,NA,NA,NA,0.19160772264263912,1.1586649055086553,1.1048253160685741,6.028540735193995,8.015774726749286e-6,-43.592127275975294,0.9999900471051905,9.921265007003717,NA,3.5646442424022298,0.004605056288839559,0.04641601938451109,0.46784376137261396,0.870495356255002,0.870495356255002,2.361236374420965,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.19855543178883|6.88978040161983|5.12166088861025|1.89488124007957|1.58211805407367|0.884007152067332|3.10553114292667|2.4752708466266|1.56462466254892|2.18388744322218|1.87548274052922|2.0224845232528|-0.132039251724448|-0.529475011199007|1.69831293056044|0.0392327272330442|3.75675903921339|1.34817794986058|2.49817564487942|1.64266737754042|1.18918129261129|2.07553054890209|1.79828403410628|1.19087868016619,dt4,Definitive_rep1
NPPB,Membrane_AGP_Intensity,Mahalanobis distance (cutoff = 1),22,0.8589065274341403,pow,5.429937349980085,2.0834014504546587,1.171494801966996,NA,NA,0.3000001780534145,NA,NA,NA,0.5565397628392419,1.1586649055086553,0.42881730863108164,2.537019205487494,1.3017307383892492e-5,-52.41913768543915,0.9999855008757346,9.921270179846143,NA,4.663808633456333,0.004605066665916951,0.04641609977794563,0.46784432775789436,0.3553737876461967,0.3553737876461967,0.9639584162287806,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,3.81645923371681|8.92006262591222|4.45117369122008|6.1623167945675|2.69623259405197|1.53861501515553|5.291903972648|1.81711642627069|1.69087797639898|6.39423615150324|3.19887542833907|1.27077967556946|1.70923254583788|-0.129182306977963|1.38663855205706|0.544394509942596|3.16380714499079|1.55350512869238|3.39075958606825|2.37725011491406|1.43777513727641|5.2489785096128|1.59616091811083|3.18068995193662,dt4,Definitive_rep1
NPPB,Nucleus_RNA_Texture,Mahalanobis distance (cutoff = 1),17,0.8589065274341403,pow,3.859990423444458,1.1271038508186126,0.8327834093912021,NA,NA,0.30000003291645994,NA,NA,NA,-0.02446000147151467,1.1586649055086553,1.5747250623695197,6.698880879331154,4.5860706703917157e-7,-38.13831320985454,0.999999207811574,9.921259089944712,NA,3.3153709705297163,0.004605044418834618,0.04641592742499664,0.46784311350199115,1.108441533600126,1.108441533600126,3.0066709987728837,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,2.2364882602991|4.48610509279013|4.21629576086688|2.26610478117187|2.27132074839671|0.748879623342844|3.44141543554485|2.43061618879924|1.35661500309628|3.04711316999107|2.13788371054805|3.55721633104411|0.955752870365594|-0.179629672094988|1.40916500272475|0.102055522402272|3.09406173161549|0.622144933665936|2.22085894400689|1.30012005998043|0.81104227539901|2.02932274489857|0.60189259007774|0.238100881414486,dt4,Definitive_rep1
NPPB,Nucleus_RNA_Radial,Mahalanobis distance (cutoff = 1),22,0.8589065274341403,exp4,3.6314743246771166,1.8789486220071951,NA,NA,3.119097001674662,NA,NA,0.12976805090369953,NA,0.3758829595555483,1.1586649055086553,0.021496661190783264,0.24348118351137907,4.01390247593029e-7,-48.576887788352096,0.9999995743491262,0.12976805090369953,NA,3.119097001674662,0.009602911219699407,0.019725145167697036,0.04177598140467424,0.06030114493570858,0.06030114493570858,0.08693898142347141,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.10995238061816|1.21702795653169|1.53929178699056|2.29154488150435|2.90315425213478|5.49570012465597|0.889275907285622|4.20757199037891|4.31400515095752|4.5903512299256|2.89288203519434|9.06316775025182|1.21452862211874|3.96261346997306|5.15793194773212|1.49152612885996|4.46586077546026|3.35281771391248|1.57298875475304|4.31217284337578|2.54231018291665|2.29090670958428|0.785358386186707|1.78776707632163,dt4,Definitive_rep1
NPPB,Nucleus_RNA_Axial,Mahalanobis distance (cutoff = 1),19,0.8589065274341403,exp4,3.9631143593016542,2.206342684978859,NA,NA,3.4039447921721617,NA,NA,0.1937598718574705,NA,0.5447801544536617,1.1586649055086553,0.04196710158681702,0.3060461007867047,2.9085221270933397e-6,-52.706802303545444,0.9999969167043721,0.1937598718574705,NA,3.4039447921721617,0.014338343177924527,0.029452099907851994,0.06237674641269496,0.08128619783121281,0.08128619783121281,0.1163164425185582,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.319255912695727|0.340579232562739|1.13766765450654|2.94995437525382|2.59086173422077|5.81386578682827|1.51901200618427|5.18854414959822|5.62599786610919|3.53130804542751|2.64208430298583|10.0920781536349|0.571418772830977|5.43746658904663|5.6977167053484|2.6936727033992|3.60630647630143|4.18203904369822|2.13764033596595|5.51686297931332|2.96932767896261|1.14738014573396|0.149587531114456|0.696193785283812,dt4,Definitive_rep1
NPPB,Nucleus_DNA_Axial,Mahalanobis distance (cutoff = 1),18,0.8589065274341403,exp4,3.185688568512442,2.025101444573628,NA,NA,2.736208705867659,NA,NA,0.13739711638253604,NA,0.4660359336610188,1.1586649055086553,0.027316792137244642,0.32418843357257543,3.0230816363505493e-5,-51.13553137307076,0.9999604506303061,0.13739711638253604,NA,2.736208705867659,0.010167466501005955,0.02088478672057503,0.04423199192004702,0.07467772149833132,0.07467772149833132,0.1091617636766365,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,-0.296990073059512|-0.309995464160548|-0.374766426052066|2.42914711768935|2.61744866963727|5.34049585803442|0.571423063596189|3.36306393704537|6.22330427838969|2.29208237321947|2.51694463326369|7.83656118243537|0.767700552065761|4.62399174778619|4.43346300611047|2.81112638039056|2.57829774403129|2.82197996339933|2.43560717729838|5.31030267244764|2.4386546246985|1.20072888151336|0.399754783533479|1.15614623031464,dt4,Definitive_rep1
NPPB,Nucleus_DNA_Symmetry,Mahalanobis distance (cutoff = 1),23,0.8589065274341403,exp4,5.884423053376814,2.4392446966871417,NA,NA,5.05416937072928,NA,NA,0.13821153419000304,NA,0.7149621302030014,1.1586649055086553,0.016580067697068986,0.12135100305009601,3.4592667720516666e-8,-56.3063629256591,0.9999999648445862,0.13821153419000304,NA,5.05416937072928,0.010227733892296679,0.021008580746666748,0.044494175893247216,0.037139209667273715,0.037139209667273715,0.05192107607387936,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,0.419666503620473|1.22438128151014|2.59329441901658|2.67219813080823|7.18018396153552|8.76448028408682|0.975620286061416|5.57750968066949|6.24416145015302|4.16288957790214|5.3815902065564|8.70957635744865|4.20382544763808|10.1266236786595|7.65847978918508|5.70792754772303|4.405686959566|4.50997408125893|4.15100892793105|5.93667109897528|3.98840791897527|4.60439635719944|1.51367598637097|1.1958223459987,dt4,Definitive_rep1
Metoclopramide,Ring_Mito_Intensity,Mahalanobis distance (cutoff = 1),10,0.8589065274341403,poly1,2.975059818326258,3.60805815141102,0.025552982974674506,NA,NA,NA,NA,NA,NA,0.09977266679707725,1.1586649055086553,33.249906330926784,74.32354008971674,0.006831752134946444,-49.00938099336649,0.9897009431122974,50,NA,2.5552982974674507,5.000000000000001,10.000000000000002,20.000000000000004,33.61276952618019,33.61276952618019,45.34362609081707,100|100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,3.8948100818498|2.93821463773993|0.454546995997394|1.66840685841967|2.72393069887424|1.52522484815323|1.49855571182935|0.509473410392165|-0.731326030929386|0.682678107978189|-0.451821016165203|-0.626592462945706|1.49424663035801|-0.395593157146101|-0.679539973393661|0.747328810264669|0.542475922201586|-0.57306344969746|2.41326172956441|0.790352012386046|-0.653564700492547|16.5065688340606|4.19880549487278|0.206880691054804,dt4,Definitive_rep1
