chem,feat,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
NPPB,Ring_Mito_Texture,Mahalanobis distance (cutoff = 1),32,1.0260345323832543,pow,4.35048814942691,3.2231846955815895,1.1212435112945522,NA,NA,0.3000000124636387,NA,NA,NA,0.8854792674080807,1.38412058418501,0.8538342767756699,6.043204728281786,1.7030910743630767e-6,-122.84483726134076,0.9999690277016232,9.921257527146645,NA,4.4637510740361295,0.004605041283764052,0.04641590313691276,0.4678429423881913,0.7439437881155887,0.7439437881155887,2.017963326718526,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,14.2510667627481|2.92955502694659|8.33578312733775|2.1410049489804|7.38464548385357|3.58126126597648|11.3338268411339|1.6503345606994|8.22340277996433|1.87495671502983|7.14879861862382|1.11259784478508|5.47361995615564|-0.273470790679222|3.31500569211603|-0.30577463830683|2.30161515244831|0.049303587147508|3.45979949511343|-0.51534213117593|4.34113588450344|0.815631971072565|3.6571368843712|0.140294717392835|2.74410526406698|-0.661755270562437|3.31260383477652|4.39402033625128|1.82761466931023|1.995450760948|1.46505077422898|-0.152922150238512|1.27160184622333|-0.106137707966561|1.92966681062691|-0.152991285913445|5.99992900516728|-0.142340894767605|4.28395324173337|-0.325321418714762|1.4792036376365|0.283025042642905|8.63069895740754|-0.508069674039316|8.17852207522214|0.462534251606133|5.34458400913805|-0.0766625699283701,dt4,Definitive_rep4
NPPB,Ring_ER_Texture,Mahalanobis distance (cutoff = 1),33,1.0260345323832543,poly1,5.944533638757529,2.9047921279375375,0.06099296792279106,NA,NA,NA,NA,NA,NA,0.6704285769531539,1.38412058418501,18.94042850707488,28.324054046865488,6.195529781916243e-9,-114.86637936478584,0.9999920228904574,50,NA,6.099296792279106,5,10,20,16.82217749564305,16.82217749564305,22.693117441622476,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,4.95117197977421|7.05248476905104|3.5541961034095|7.40259134434192|7.85466478965857|5.08009769231294|11.8294341062884|3.93427193149708|6.22294225694828|4.58566462244038|10.9961290429298|-0.241400524707665|1.57176761593573|0.470097674483308|1.58395854465458|1.25786742519188|-0.518475459439042|-0.384160495992835|-0.0139389748131674|0.86932213617254|3.64464758963311|2.22436340640432|1.50754855696156|1.16866912872319|0.204983273878318|2.13421610864013|-0.12597233241863|10.6831021449395|0.874327281664044|5.51867896070011|0.841244911423559|3.83674604278138|1.29780321797918|2.76221693745317|1.27687306934879|0.874523633597434|2.04850832689814|1.69754685916078|3.33057274082209|1.02586603789213|0.449544751868015|0.0205876478183251|2.07604438516763|2.21317275831365|0.0430404343318795|2.0575862714786|1.45559865409864|6.35918533472813,dt4,Definitive_rep4
NPPB,Cytoplasm_Mito_Texture,Mahalanobis distance (cutoff = 1),35,1.0260345323832543,pow,3.494193061353806,1.79403276963471,0.9005521431397598,NA,NA,0.3000000052906651,NA,NA,NA,0.2905659756909983,1.38412058418501,2.4697203529019234,7.652101135224095,4.7866130991904417e-11,-94.63626823334828,0.9999941393731667,9.921256979060441,NA,3.585162743762964,0.004605040184269271,0.04641589461888302,0.4678428823771752,1.5446984426532058,1.5446984426532058,4.190027435247048,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,9.05932673695206|3.69985838046072|5.06337092595331|3.32785658415505|3.40730402961442|3.4872894107576|4.06224308230588|1.9382581271116|4.72990601492475|1.71865776390676|4.23471770183481|3.08819866460546|3.41765369513301|-0.135916105248228|2.44399375689626|0.250718391405803|1.37315140704605|0.730306486326637|3.46506709558754|-0.627673824142575|1.44336012209828|1.7692122122278|1.95225423060366|1.14012382587199|2.57457326443522|-0.341502243538695|1.79015999025747|4.26714398024581|0.752420764729982|3.69948718774908|0.876339391712079|0.167613017630077|1.85362440294091|0.363444869497332|1.34251367807993|1.49454622635219|4.70095676866529|-0.198029941516259|2.2835014122255|0.169398438975607|1.42682576088179|1.35268109949056|4.63403377060417|-0.637424641127543|4.83072622123256|-0.51808907149826|2.32840409782835|2.2066482372606,dt4,Definitive_rep4
NPPB,Cytoplasm_ER_Texture,Mahalanobis distance (cutoff = 1),22,1.0260345323832543,poly1,2.5951068218195585,2.2761301499992186,0.026626692144102238,NA,NA,NA,NA,NA,NA,0.2974587609455976,1.38412058418501,39.18475242128873,77.0163823130815,9.79707247516508e-5,-99.06807141284814,0.9969568699712766,50.00000000000001,NA,2.662669214410224,5.000000000000001,10.000000000000002,20.000000000000004,38.53405923764056,38.53405923764056,51.982445911577116,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,4.1078428568584|2.24057465601397|1.57143420413125|4.0562851516142|3.07134042082886|2.38782435691732|9.20862049545478|0.740198169292169|3.86841551589506|-0.0540586822006293|5.69800928779831|-0.438896951218752|-0.561628804630967|0.330921450672837|1.59331300937014|-0.357995960926862|-0.320238294772853|0.562533956438606|0.153290435453944|0.583785408404604|2.03482672508908|1.49485954115767|-0.627963872412168|0.559323890897967|-0.255182970972108|1.31953781595767|-0.450014624047563|8.92873178516209|0.00610289625944915|3.9600832026409|0.181242862250502|1.36641745064994|-0.518934790222944|1.09386742170958|-0.0424343212168284|-0.772925916458946|0.751148493825865|1.57013839848139|2.37871588969937|0.119343099552536|-0.728642558924129|-0.621670507170366|2.46148913777601|0.384090982826063|-0.73794926797974|1.7449999748101|0.442529014139474|5.69561744593549,dt4,Definitive_rep4
NPPB,Cytoplasm_ER_Profile,Mahalanobis distance (cutoff = 1),43,1.0260345323832543,pow,5.256843143334395,2.2474457347080947,1.3548365940494616,NA,NA,0.3000000388982165,NA,NA,NA,0.4716880720405008,1.38412058418501,0.7002003071135332,1.7153747309328515,4.236669212093081e-14,-103.62993803316688,0.9999998876868493,9.921259547010148,NA,5.393702596383222,0.0046050453357367625,0.04641593452843927,0.4678431635469821,0.3958982510730527,0.3958982510730527,1.0738823205371664,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,5.61764906060361|6.92192215544214|4.10620591277385|8.36077853632472|5.81054016221844|6.26236163845555|6.08118079946696|5.33698833840837|1.28352915052208|4.18270018016883|3.92075953744137|5.25513288518111|1.12573069917945|4.28291873534562|1.25020883824078|2.72080245538053|1.7211420195093|4.38010014517131|-0.304827504708742|2.61094498412255|3.27471623519889|4.26333205951329|1.79204753278575|1.31933398814287|-0.0956274246389479|3.90295714173017|0.0292345287793407|10.2939997533886|1.85818049343399|5.50329001290115|1.71613075210388|3.42688216198636|1.68412883839361|3.95599194886392|1.26490327738448|1.50270985181602|1.818797263582|2.53930656476526|3.22073638248644|2.47362480047329|0.809999160331291|1.04672857656471|4.25505906282149|3.21898429189865|0.677390179239086|2.24613723885673|1.70940295426696|7.17930575625524,dt4,Definitive_rep4
NPPB,Cytoplasm_DNA_Profile,Mahalanobis distance (cutoff = 1),33,1.0260345323832543,pow,3.8558174698622536,1.7487054653197858,0.8893359266740997,NA,NA,0.324106303727863,NA,NA,NA,0.21147171398789255,1.38412058418501,2.429496443130361,6.869706186021783,1.8674224992156465e-12,-91.68695514673463,0.9999963209433043,11.781478974257045,NA,3.9562018746453,0.00967815058693471,0.08214716172801237,0.6972567867540811,1.5545041812345535,1.5545041812345535,3.9149996807815084,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,6.65016592766283|3.52881096773377|4.92862467533043|7.45809509693181|8.12029682722646|3.79904292567639|2.99682390610188|1.92835964748602|4.01750434445791|4.87078509660306|4.47344505612224|1.70968890832979|1.85904279414359|0.726997171563266|0.591379375762155|3.03574135504367|0.62508196641817|0.219729171714383|-0.0903826094322066|1.6300087464236|4.48980989143033|2.43552700394543|1.84598455184207|0.549394528264628|1.72553214600136|2.83182979747304|0.364968041718959|1.93399660341684|1.32758358031091|4.5878680259983|1.72441831681053|0.19771004613238|0.0562539706743926|0.413665707853943|0.570373298749368|2.22439445132903|1.09066598820439|0.549306076947836|1.14746689807496|1.22871396234024|0.177534637956196|1.17090948422817|6.94209702897294|0.483569477897271|1.19743855824822|2.27930614879479|1.13346395174205|0.10516403603202,dt4,Definitive_rep4
NPPB,Nucleus_DNA_Texture,Mahalanobis distance (cutoff = 1),20,1.0260345323832543,exp2,5.209956093977603,2.925956028173696,1.020563525912415,54.62566712948322,NA,NA,NA,NA,NA,-0.015417572737743013,1.38412058418501,43.438510859512625,50.595026687734595,5.509125937669579e-12,-95.0956473925236,0.9999746045166673,70.2585454934841,NA,5.345594864621595,12.706694043711527,23.008314553526176,39.14787704583891,38.009849101358995,38.009849101358995,46.817670739732904,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,12.2316589439764|4.49347782304078|8.17977515171777|5.04374919751178|17.7164540287544|5.10835025550482|2.89516437232903|2.04460850290937|1.23249720568593|4.12354125231036|15.1625580754056|2.18334423676155|2.82701131610187|0.812241647686057|1.00133599038482|1.86616386577596|0.705257294400915|0.401088397561504|-0.413931945808026|-0.167091105131615|4.46418434762086|1.03751176648938|3.594114378329|1.20231894565965|0.0585774449794005|0.0225824837979526|-0.758921734753117|1.77515702275418|0.0317392868433605|0.322157105922545|-0.0292255849202646|0.0997740182208916|-0.516669620760832|-0.669963678640501|0.405377833609672|-0.373923970503222|-0.636976838489002|-0.111998958426537|-0.492884215443919|-0.763406952430021|0.183137377869286|-0.558776666232123|0.500461200756706|-0.519622258891127|0.597879975433085|0.215162437436476|1.92202288066897|0.536689942998329,dt4,Definitive_rep4
NPPB,Nucleus_RNA_Intensity,Mahalanobis distance (cutoff = 1),19,1.0260345323832543,poly1,2.6720578649283078,1.89593121116884,0.02741623641942713,NA,NA,NA,NA,NA,NA,0.3418234397271257,1.38412058418501,35.811049024190105,79.15145802977744,9.535027583662367e-5,-97.48923633361893,0.9941454667030013,50,NA,2.741623641942713,5.000000000000001,10.000000000000002,20.000000000000004,37.424339237759376,37.424339237759376,50.48543363173739,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,0.981325353112358|7.24006897915771|1.36594163754119|2.81040915629607|1.24354483776497|4.71301042590846|1.60362747498468|5.84554791919335|0.880645487026042|7.66540945819556|4.29471797331356|0.977902480191047|-0.3747340017615|2.00016055126762|-0.660082536643152|3.97195039847633|-0.820986206232678|1.08285264929668|-0.773232526652261|3.5067557175723|0.24636561383479|0.113735236142385|0.75493227080891|0.220123406827758|-0.830080879636165|3.36898993295592|-0.477532646825203|0.92973318718671|-0.246931419331417|1.28515812091176|-0.776156708867549|3.46663749901134|-0.600331076330385|-0.28502733506259|-0.127917590804268|0.753013040890963|-0.703660555020197|3.34360442882046|0.23686992156649|-0.0978508265533891|-0.519933596641119|0.275576669362901|-0.632500135117407|3.42865316321713|-0.72538025924121|2.30557287012477|-0.482756188731056|0.646867449062896,dt4,Definitive_rep4
NPPB,Nucleus_DNA_Intensity,Mahalanobis distance (cutoff = 1),24,1.0260345323832543,poly1,4.439948435488436,3.008147857352329,0.045555404168121386,NA,NA,NA,NA,NA,NA,0.32147560213131987,1.38412058418501,23.66850275013098,40.008804943420294,7.329155918287525e-9,-103.46012138743949,0.9999646237277778,50,NA,4.555540416812138,5,10,20,22.52278409377497,22.52278409377497,30.383235742502432,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,10.1575829050956|2.09382713148931|7.6550033213493|3.51945483594652|18.0709067037427|4.34868416784513|3.091095000079|1.85570334358867|0.56891971921148|5.71215779250542|15.0410727587381|2.03310174349247|4.10345056879392|0.817439404042012|0.942491866201051|2.88475425872567|2.17682119628615|0.969750867244317|-0.846202115125191|1.47385959076546|3.79945372464157|2.12098265755618|2.49927728494526|2.2171110554289|-0.321074078387673|0.864800944274194|-0.80770352712596|-0.184447030971732|0.0950591500726514|1.50657975167591|-0.693106824298225|0.0832279309568515|-0.788710444657661|0.0112859493441808|-0.054033167198284|1.07274495421378|-0.286672055478755|0.36352436508604|-0.630873909464502|-0.152908970003868|0.338855054380793|-0.174251497090617|0.521309088141399|0.324932427342386|0.74656176665742|1.10495574073418|2.23830895825122|1.87767201077628,dt4,Definitive_rep4
NPPB,Nucleus_RNA_Texture,Mahalanobis distance (cutoff = 1),24,1.0260345323832543,pow,11.050899957207694,2.3350545190407996,0.016679536243055015,NA,NA,1.416187826819099,NA,NA,NA,0.47428952646462885,1.38412058418501,20.63380420773306,24.99384686888775,2.303372517174151e-17,-105.79726780247503,0.9999997260559966,61.29660072528158,NA,11.33860497000772,12.059113029002575,19.673379740989176,32.09538458610634,18.33306100960448,18.33306100960448,22.648484913578933,100|100|100|100|100|100|75|75|75|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285|0.137174211248285,11.3815722111633|7.92936134285641|16.3129147132279|11.0641838987804|17.7859740845874|8.62533829325558|11.684132414476|5.04988865094289|8.32747111948946|9.02723555804968|14.3830951450353|3.28119653543613|5.20382777258797|1.0194286784677|1.47181654886759|2.99360846612294|0.852377367283724|0.569836652017061|-0.343446467254961|2.04659104957011|0.548520618994748|0.629259474884184|1.27320090006794|0.290442284123582|-0.456371591983924|2.31530314573162|-0.143081166238357|4.78715727816841|0.0653669215062456|2.70943393778833|-0.329692053014332|4.30478261595155|0.971371888039247|-0.209204740013297|0.522482774157237|0.304666858239071|1.06300089046298|1.89594145770494|0.0921862598413028|0.0578830057892967|0.133728693174244|-0.0997941767810853|0.468875066061395|2.22814602284507|-0.252985730132852|0.893645241169225|-0.348665605501587|-0.447551227547881,dt4,Definitive_rep4
