name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
Staurosporine,Mahalanobis distance (cutoff = 1),32,0.8185432602985284,exp5,6.893235307345122,0.9790241153087602,NA,NA,7.279486281940117,0.30000000032296287,NA,0.038816292072632166,NA,-0.20952907119273434,1.104214858142715,2.0370789583918497e-4,4.603824880444745e-4,8.311296501993193e-20,-45.687945583690635,0.99999999999999,0.012240344058246757,NA,5.642411302479204,2.7705027540047887e-6,2.988693423577857e-5,3.476343389244871e-4,1.1003953090987026e-4,1.1003953090987026e-4,3.2127811602304017e-4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.005|0.005|0.005|0.005|0.00158113883008419|0.00158113883008419|0.00158113883008419|0.00158113883008419|5e-04|5e-04|5e-04|5e-04,7.50332298389997|5.27679302540364|4.0873447529041|6.87456584560606|5.30650909451214|5.58118210457216|7.52788465182383|6.36458650290635|5.35996538173542|4.29626134506937|3.82912361809321|3.24724994554341|3.54586094062985|5.71859605507333|3.76826754481521|3.08670118714062|3.42374488727479|3.08367605271664|1.95016136537774|2.73046642560753|1.92642490036475|1.91231451276445|1.08064399188459|2.18435511314361|2.17605172337648|1.69328828142723|1.34205325304865|1.54060911475111|3.00049968137683|2.00706432142983|2.67067314206615|2.16061739468505,dt4,PR_0.6
5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),18,0.8185432602985284,hill,3.1306538725307935,1.1706898891974231,NA,NA,4.15091025984589,0.30000000019598794,NA,20.302571441210862,NA,-0.03473920499435463,1.104214858142715,0.16765835144073477,3.010813214810323,1.6728726422223607e-6,-38.386439648463124,0.9999962696008116,1.3813089675316697,NA,2.5625756276875693,2.0794663475061473e-4,0.0023347707019390554,0.02952617107663694,0.1884431789340865,0.1884431789340865,0.6891274457184263,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,1.13509000825831|5.04164648412317|1.62314007771343|3.08299582581247|2.77022455335706|1.12258412634342|3.25953967015401|2.94742407310567|2.41150265183562|1.42191496703667|2.86179236881092|1.73386699211094|4.31098815200538|-0.108537723545483|0.592549445699683|0.969522066313169|0.731460434738086|0.350354147334399|1.22791171948693|1.45189550319835|0.291273520091909|2.7125138472641|2.04399169943322|0.523088056116115,dt4,PR_0.6
Taxol (Paclitaxel),Mahalanobis distance (cutoff = 1),22,0.8185432602985284,exp5,3.9019307266943155,0.7418724294298996,NA,NA,3.1938990984874143,0.5626431675202986,NA,0.01227911738208006,NA,-0.5370746805509197,1.104214858142715,0.002731745864184402,0.009373617242297329,5.843004259929291e-14,-26.78370618932943,0.9999999999997379,0.012279117382079641,NA,3.193899098487371,1.2006875719689586e-4,4.315714204457843e-4,0.0016379268353716723,0.0027079064377539875,0.0027079064377539875,0.005130948205335761,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,2.42432414567788|3.57248898669049|2.69244058258959|4.35306236917832|3.0712182645137|3.97087341362366|3.62970597517434|3.01909580334257|1.37978241905742|3.85123167417478|2.78598694397922|2.27811057991003|3.08291808589714|3.26189768940943|3.17733162130778|1.64531923093384|2.86920241217323|1.91924921852809|1.81613959199201|-0.356086305902341|1.36385179428418|1.15072103580976|1.69536314230615|0.476477533939759,dt4,PR_0.6
Ca-074-Me,Mahalanobis distance (cutoff = 1),11,0.8185432602985284,poly1,3.031294188355,0.6836659444170371,0.24812454278600835,NA,NA,NA,NA,NA,NA,-0.7755891824113818,1.104214858142715,3.7663781828488263,5.3909269656356,4.078413872082866e-8,-22.954885548659227,0.9999043910629023,5,NA,2.4812454278600833,0.5,1,2,3.2989209818090024,3.2989209818090024,4.450244404460344,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,4.13618006655998|2.21271250164887|2.73578438855287|1.20193001605067|1.98725086799843|1.22468568094709|0.691783803267958|1.23858325435898|1.27302707078461|0.252883926475741|-0.723381010900354|0.312629820841337|-0.554792108561525|0.927524600469267|0.0253910693749355|2.04630691721061|0.148552095093997|0.867257231595229|-0.063875997158676|0.0818306183533619|0.104554333170418|-0.0377751116046361|-0.279682959019298|0.222009220366729,dt4,PR_0.6
Amperozide,Mahalanobis distance (cutoff = 1),18,0.8185432602985284,exp3,7.83412117200122,0.8413554834332239,0.2740627405623432,4.151054330582725,NA,0.36502303455092355,NA,NA,NA,-0.344066181822697,1.104214858142715,14.155470631894735,17.153485922597337,4.356972278142453e-12,-30.703775419786638,0.9999999977795454,53.44884954464327,NA,6.412567085703607,2.062580609161455,6.933154612042188,18.837586616936786,10.09060477137855,10.09060477137855,15.439371737249116,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,7.45495504830539|7.14069222632603|5.74909399312958|3.76490770064105|4.97562097109477|3.60296108820789|2.1404865677062|1.42438184884753|1.51347435898577|1.21077645112586|1.02315652251414|0.57829760801334|2.27903208623756|1.97957522633847|0.665145148502369|1.0158743038665|0.6925665500584|1.23601381261761|0.852505639653763|0.108622442137455|0.638081727113244|0.155892469844332|1.89361251857622|0.903316443896864,dt4,PR_0.6
Tetrandrine,Mahalanobis distance (cutoff = 1),9,0.8185432602985284,exp5,8.490193051137785,0.7210167958584696,NA,NA,6.9495903006422335,7.999898407575961,NA,3.6990600435554972,NA,-0.678522063309436,1.104214858142715,3.0056721520322363,3.204761805206779,2.958974485867618e-13,-24.671053260339413,0.999999781426988,3.6990600435554972,NA,6.9495903006422335,2.671431098977628,2.922951676455483,3.210409703919714,2.9870214420737646,2.9870214420737646,3.109947145100951,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.65362058579551|7.02915444658495|7.15088232827833|3.27048192926366|4.49415919310992|3.18072325960844|1.9670958112021|-0.214878597713345|-0.29596027389334|-0.0935245080347378|0.268458971969562|-0.34434013015658|0.277750150697137|-0.285381965825934|0.726663163648056|0.282241684235535|-0.962179987299933|0.664785809954916|-0.550086111243695|-0.0474894771736509|-0.790504120451791|1.9015450265909|0.534659155451871|-0.180282581502022,dt4,PR_0.6
Fenbendazole,Mahalanobis distance (cutoff = 1),12,0.8185432602985284,poly1,2.9987270869727043,0.6455900449266976,1.227293923258073,NA,NA,NA,NA,NA,NA,-0.7135956264763852,1.104214858142715,0.7607901266504472,1.0810030743752606,4.737040540195757e-8,-23.317333129092933,0.9999768151468595,1,NA,2.454587846516146,0.1,0.2,0.4,0.6669496563020191,0.6669496563020191,0.8997150863514238,2|2|2|1.5|1.5|1.5|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002,2.47777332228174|3.67296819507585|2.0202283478058|1.36495402246492|2.00547571577283|1.62315595412422|1.54088088483079|0.662422399546966|1.27557233232988|0.0593811534977835|0.170216953692847|-0.825526123537325|0.234301275789726|0.0645684565802731|0.264006507530797|1.4863895840188|-0.0499967927777685|0.655360994563764|-0.270518884307358|0.380663174684805|0.149600449148535|0.284920932775242|1.22755806506248|1.2580880114474,dt4,PR_0.6
Etoposide,Mahalanobis distance (cutoff = 1),16,0.8185432602985284,exp4,4.099427757706858,0.7130522453033292,NA,NA,3.35562596576064,NA,NA,0.6405335968887671,NA,-0.5356190700002251,1.104214858142715,0.2674703314823378,0.5062934853928194,4.243287609099504e-12,-26.483255367341357,0.9999999913463312,0.6405151451725623,NA,3.355558962151657,0.04739888745189906,0.09736103797369355,0.2062011475941587,0.25839853260086937,0.25839853260086937,0.36878875445280157,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.14273419958627|3.67600683790134|1.95376830878831|3.80203791476321|2.39431560355951|3.29151665563434|3.68925600072418|4.35687273781717|3.62154716851745|2.34154676577643|2.08153174317334|2.33937691664525|0.273765851376803|0.58625127257722|0.762368440866906|0.213972677761468|0.928160288642483|0.690970123617711|0.925610502147733|0.0263182869562648|0.530245338751046|-0.532763423170808|-0.87231048873093|-1.62734773179983,dt4,PR_0.6
Fluphenazine,Mahalanobis distance (cutoff = 1),10,0.8185432602985284,poly1,1.881068406394782,0.787540724216312,0.1385762279593449,NA,NA,NA,NA,NA,NA,-0.40175811503965625,1.104214858142715,5.596663249510336,14.315460162725723,0.01716679559531076,-29.275604849474085,0.9389686607285158,5.555555555555551,NA,1.539735866214942,0.5555555555555551,1.1111111111111103,2.2222222222222205,5.906808637760514,5.906808637760514,7.9682848523389325,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,1.72346629708622|2.1533418633712|0.950639152154664|0.78915844273201|-0.115313905129379|-0.23665558146783|0.873336380125767|-0.399956462922485|1.67782779556902|-0.293453987443304|0.278285547748062|-0.312289117854711|0.251907532054471|1.24214412391805|-0.0539024905974568|0.435742811902096|0.731921229453453|0.268593376812827|1.06893803156602|0.475679586801215|0.193363612575396|1.51594443379495|1.03437543410463|1.60936006240866,dt4,PR_0.6
Berberine Chloride,Mahalanobis distance (cutoff = 1),13,0.8185432602985284,exp5,6.08841755222699,0.7456034732613914,NA,NA,5.035386098588887,1.9191430969966965,NA,37.39517941208272,NA,-0.7196417837090062,1.104214858142715,19.13957959852617,24.899119215987042,8.598955500294994e-14,-24.113690083815055,0.9999999985016197,37.10670618350136,NA,4.983633153258666,9.576660273430925,13.932917771226249,20.592452097238624,18.382977624497634,18.382977624497634,21.868401531312774,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.3964619927966|5.3028385864019|5.02830532725406|4.87233464518122|4.79455080731766|4.49904404713801|1.50072215067606|2.27821421260377|2.38536779021076|0.946725868133318|-0.191668695508545|0.340104467325267|0.552724508166125|0.0230756202843416|0.467754429808907|0.0509472228441719|-0.620875660292188|2.53642649645074|0.236567429105556|-0.302656188576679|-0.510943504807511|0.850785353452701|1.64247072377956|0.766831105624578,dt4,PR_0.6
Latrunculin B,Mahalanobis distance (cutoff = 1),16,0.8185432602985284,exp5,4.958108029166716,0.7683254273201948,NA,NA,4.058425911106435,7.999999072335306,NA,0.8002238192170609,NA,-0.3744996493877168,1.104214858142715,0.37182462181313297,0.8244388568115432,1.9056641158618607e-13,-29.358087424756157,0.9999999999143216,0.8002238192170609,NA,4.058425911106435,0.57791750510967,0.6323288773880542,0.6945145156631284,0.6953337862198425,0.6953337862198425,0.7258336862873098,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,5.01465906950413|5.37573796706683|4.12688820148318|3.00131504833931|3.3357611235454|3.54433652385388|3.67900621282661|5.32902842752711|4.00065193581734|2.96371607707555|4.06712471949327|4.78102548672429|-0.455856449220475|-0.175528055963941|-1.04165667847728|0.405053161951047|1.17689343842226|-0.0370644301197318|0.818152455827775|0.127067595654195|-0.339065842009714|-0.348848876907965|1.0882099566191|1.08429474670175,dt4,PR_0.6
